,Player_Name,Country,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
6234,S Gooch,EST,4.0,0,28,2,7,1,Finland,Tallinn,25 Jul 2025
6235,Ajhar Alam,CZK-R,4.0,0,28,2,7,2,Romania,Ilfov County,21 Aug 2025
6236,JJ Huo,MOZ,4.0,0,28,2,7,1,Eswatini,Malkerns,12 Sep 2025
6237,JJ Bumrah,IND,4.0,0,28,2,7,1,Pakistan,Dubai (DICS),14 Sep 2025
6238,Mahedi Hasan,BAN,4.0,0,28,2,7,1,Pakistan,Dubai (DICS),25 Sep 2025
6239,A Simelane,SA,4.0,0,28,2,7,2,Namibia,Windhoek,11 Oct 2025
6240,Abdollah Ahmadzai,AFG,3.3,0,28,2,8,1,Zimbabwe,Harare,31 Oct 2025
6241,Naseem Shah,PAK,4.0,0,28,2,7,1,South Africa,Lahore,31 Oct 2025
6242,Faheem Ashraf,PAK,4.0,0,28,2,7,1,South Africa,Lahore,1 Nov 2025
6243,Shafiq Jan,OMA,4.0,0,28,2,7,1,U.A.E.,Doha,16 Nov 2025
6244,Abrar Ahmed,PAK,4.0,0,28,2,7,1,Sri Lanka,Rawalpindi,27 Nov 2025
6245,GJ Delany,IRE,4.0,0,28,2,7,2,Bangladesh,Chattogram,29 Nov 2025
6246,LH Rodrigues,BRA,4.0,0,28,2,7,1,Argentina,Buenos Aires,30 Nov 2025
6247,KDA Lukies,PHI,4.0,0,28,2,7,2,Singapore,Bangkok,10 Dec 2025
6248,Marcelle Hanekom,CAM,4.0,0,28,2,7,1,Indonesia,Bali,23 Dec 2025
6249,Shah Abrar Hussain,CAM,4.0,0,28,2,7,1,Indonesia,Bali,25 Dec 2025
6250,Ye Ko Ko,MYAN,4.0,0,28,2,7,1,Bhutan,Gelephu,29 Dec 2025
6251,S Dube,IND,3.0,0,28,2,9.33,2,New Zealand,Nagpur,21 Jan 2026
6252,Fazalhaq Farooqi,AFG,3.5,0,28,2,7.3,2,West Indies,Dubai (DICS),21 Jan 2026
6253,Rashid Khan,AFG,4.0,0,28,2,7,1,South Africa,Ahmedabad,11 Feb 2026
6254,A Nortje,SA,4.0,0,28,2,7,1,U.A.E.,Delhi,18 Feb 2026
6255,Arshdeep Singh,IND,4.0,0,28,2,7,1,South Africa,Ahmedabad,22 Feb 2026
6256,AU Rashid,ENG,4.0,0,28,2,7,1,New Zealand,Colombo (RPS),27 Feb 2026
6257,Rehan Ahmed,ENG,3.0,0,28,2,9.33,1,New Zealand,Colombo (RPS),27 Feb 2026
6258,A Bohara,NEP,4.0,0,29,2,7.25,1,Ireland,Al Amerat,14 Feb 2022
6259,A Bohara,NEP,4.0,0,29,2,7.25,2,P.N.G.,Kirtipur,28 Mar 2022
6260,T Lungameni,NAM,4.0,0,29,2,7.25,2,Uganda,Windhoek,10 Apr 2022
6261,Sazib Bhuiyan,CZK-R,4.0,0,29,2,7.25,2,Hungary,Marsa,15 May 2022
6262,ACF Stokes,GUE,4.0,0,29,2,7.25,1,Jersey,Castel,21 May 2022
6263,Walter Behr,GER,4.0,0,29,2,7.25,2,Sweden,Krefeld,11 Jun 2022
6264,D Pretorius,SA,4.0,0,29,2,7.25,1,India,Visakhapatnam,14 Jun 2022
6265,Omar Rassol,BUL,3.0,0,29,2,9.66,1,Serbia,Sofia,25 Jun 2022
6266,Tejwinder Singh,CYP,4.0,0,29,2,7.25,2,Romania,Vantaa,13 Jul 2022
6267,NK Tiwari,CYP,4.0,0,29,2,7.25,2,Romania,Vantaa,13 Jul 2022
6268,RJW Topley,ENG,4.0,0,29,2,7.25,2,South Africa,Bristol,27 Jul 2022
6269,KC D'Souza,BUL,4.0,0,29,2,7.25,1,Luxembourg,Kerava,28 Jul 2022
6270,KA Maharaj,SA,4.0,0,29,2,7.25,2,Ireland,Bristol,3 Aug 2022
6271,AS Joseph,WI,4.0,0,29,2,7.25,1,India,Lauderhill,6 Aug 2022
6272,JB Little,IRE,4.0,0,29,2,7.25,1,Afghanistan,Belfast,12 Aug 2022
6273,T Ritawa,COK,3.0,0,29,2,9.66,1,Vanuatu,Port vila,15 Sep 2022
6274,SO Ngoche,KENYA,4.0,0,29,2,7.25,2,Malawi,Benoni,16 Sep 2022
6275,BFW de Leede,NED,3.0,0,29,2,9.66,1,Bangladesh,Hobart,24 Oct 2022
6276,BD Glover,NED,4.0,1,29,2,7.25,1,Zimbabwe,Adelaide,2 Nov 2022
6277,TG Southee,NZ,4.0,0,29,2,7.25,2,Ireland,Adelaide,4 Nov 2022
6278,Fazalhaq Farooqi,AFG,4.0,0,29,2,7.25,1,Australia,Adelaide,4 Nov 2022
6279,Mohammad Kamran,ESP,4.0,0,29,2,7.25,1,Germany,Almeria,5 Nov 2022
6280,Usman Najeeb,KSA,4.0,0,29,2,7.25,1,Bahrain,Al Amerat,20 Nov 2022
6281,D Heyliger,CAN,4.0,0,29,2,7.25,1,Oman,Al Amerat,21 Nov 2022
6282,M Magagula,SWZ,3.0,0,29,2,9.66,1,Ghana,Kigali,1 Dec 2022
6283,Adil Butt,SWZ,4.0,0,29,2,7.25,1,Tanzania,Rwanda,6 Dec 2022
6284,M Magagula,SWZ,4.0,0,29,2,7.25,1,Tanzania,Rwanda,6 Dec 2022
6285,YM Nkanya,TAN,4.0,0,29,2,7.25,1,Uganda,Rwanda,22 Dec 2022
6286,T Rossi,Arg,4.0,0,29,2,7.25,1,Bermuda,Buenos Aires,22 Feb 2023
6287,J Butler,IOM,3.0,0,29,2,9.66,1,Spain,Cartagena,24 Feb 2023
6288,S Veerapathiran,BHR,4.0,0,29,2,7.25,1,Malaysia,Mong Kok,9 Mar 2023
6289,Rizwan Butt,BHR,4.0,0,29,2,7.25,1,Kuwait,Mong Kok,11 Mar 2023
6290,Nasrulla Rana,HKG,4.0,0,29,2,7.25,2,Malaysia,Mong Kok,12 Mar 2023
6291,V Manakitoga,Fiji,3.0,0,29,2,9.66,2,Samoa,Suva,14 Mar 2023
6292,MJ Henry,NZ,4.0,0,29,2,7.25,1,Pakistan,Lahore,15 Apr 2023
6293,F Nsubuga,UGA,4.0,0,29,2,7.25,1,Botswana,Nairobi (Gym),9 Jun 2023
6294,M Mooketsi,BOT,3.0,0,29,2,9.66,2,Uganda,Nairobi (Gym),9 Jun 2023
6295,K Piet,BOT,4.0,0,29,2,7.25,2,Rwanda,Nairobi (Gym),10 Jun 2023
6296,H Ssenyondo,UGA,4.0,0,29,2,7.25,1,Kenya,Nairobi (Gym),18 Jun 2023
6297,E Jabarkhel,LUX,4.0,0,29,2,7.25,1,Malta,Marsa,11 Jul 2023
6298,Fanyan Mughal,MLT,4.0,0,29,2,7.25,2,Romania,Marsa,14 Jul 2023
6299,JB Little,IRE,4.0,0,29,2,7.25,2,Italy,Edinburgh (Golden),20 Jul 2023
6300,CW Perchard,JER,4.0,0,29,2,7.25,2,Germany,Edinburgh,25 Jul 2023
6301,S Pradhan,BHU,4.0,0,29,2,7.25,1,Malaysia,Kuala Lumpur,27 Jul 2023
6302,AJ Hosein,WI,4.0,0,29,2,7.25,1,India,Providence,6 Aug 2023
6303,M Prasidh Krishna,IND,4.0,0,29,2,7.25,2,Ireland,Dublin (Malahide),20 Aug 2023
6304,M Yunusu Issa,TAN,4.0,0,29,2,7.25,1,Uganda,Rwanda,25 Aug 2023
6305,Shaik Basha,TAN,3.0,0,29,2,9.66,1,Uganda,Rwanda,30 Aug 2023
6306,Bilal Khan,OMA,4.0,0,29,2,7.25,2,Qatar,Doha,17 Sep 2023
6307,N Vanua,PNG,4.0,0,29,2,7.25,1,Malaysia,Kuala Lumpur,20 Sep 2023
6308,J Kariko,PNG,4.0,0,29,2,7.25,2,Hong Kong,Kuala Lumpur,21 Sep 2023
6309,Sayed Monib,KUW,4.0,0,29,2,7.25,1,Saudi Arabia,Doha,5 Oct 2023
6310,L Bruce,GIBR,4.0,0,29,2,7.25,2,Luxembourg,Gibraltar,15 Oct 2023
6311,MG Erasmus,NAM,4.0,0,29,2,7.25,2,Zimbabwe,Windhoek,25 Oct 2023
6312,Ali Naseer,UAE,4.0,0,29,2,7.25,2,Hong Kong,Mulpani,2 Nov 2023
6313,Pavandeep Singh,MAS,3.5,0,29,2,7.56,2,Singapore,Kirtipur,2 Nov 2023
6314,Ravi Bishnoi,IND,4.0,0,29,2,7.25,2,Australia,Bengaluru,3 Dec 2023
6315,TG Southee,NZ,4.0,0,29,2,7.25,2,Pakistan,Dunedin,17 Jan 2024
6316,BV Sears,NZ,4.0,0,29,2,7.25,1,Australia,Auckland,23 Feb 2024
6317,JN Loftie-Eaton,NAM,3.0,0,29,2,9.66,2,Nepal,Kirtipur,27 Feb 2024
6318,DS Airee,NEP,4.0,0,29,2,7.25,2,Namibia,Kirtipur,1 Mar 2024
6319,T van der Gugten,NED,3.0,0,29,2,9.66,1,Nepal,Kirtipur,5 Mar 2024
6320,Zeeshan Maqsood,OMA,4.0,0,29,2,7.25,1,P.N.G.,Al Amerat,6 Mar 2024
6321,D Heyliger,CAN,3.3,0,29,2,8.28,2,U.S.A.,Prairie View,7 Apr 2024
6322,Musawar Shah,QAT,4.0,0,29,2,7.25,2,Saudi Arabia,Al Amerat,16 Apr 2024
6323,Aayan Afzal Khan,UAE,4.0,0,29,2,7.25,2,Oman,Al Amerat,21 Apr 2024
6324,Shoriful Islam,BAN,4.0,0,29,2,7.25,1,U.S.A.,Prairie View,23 May 2024
6325,MG Erasmus,NAM,4.0,0,29,2,7.25,2,Scotland,Bridgetown,6 Jun 2024
6326,MWR Stokes,GUE,4.0,0,29,2,7.25,1,Belgium,Waterloo,9 Jun 2024
6327,Yair Nagavkar,ISR,4.0,0,29,2,7.25,2,Hungary,Rome,12 Jun 2024
6328,P Malav,LUX,4.0,0,29,2,7.25,2,Israel,Spinaceto,16 Jun 2024
6329,IS Sodhi,NZ,3.4,0,29,2,7.9,1,P.N.G.,Tarouba,17 Jun 2024
6330,S Simpson,JER,4.0,0,29,2,7.25,2,Guernsey,Port Soif,23 Jun 2024
6331,M Sarenac,SRB,4.0,0,29,2,7.25,1,Slovenia,Ljubljana,29 Jun 2024
6332,Vinay Ravi,NOR,3.0,0,29,2,9.66,2,Sweden,Krefeld,8 Jul 2024
6333,PW Hasaranga,SL,4.0,0,29,2,7.25,1,India,Pallekele,30 Jul 2024
6334,H Thaker,CAN,3.0,0,29,2,9.66,2,Netherlands,Utrecht,23 Aug 2024
6335,Saad Bin Zafar,CAN,4.0,0,29,2,7.25,2,Netherlands,Utrecht,23 Aug 2024
6336,PE Kruger,SA,3.0,0,29,2,9.66,1,West Indies,Tarouba,25 Aug 2024
6337,L Sanogo,Mali,4.0,0,29,2,7.25,1,Lesotho,Dar-es-Salaam,25 Sep 2024
6338,Muhammad Jawadullah,UAE,3.1,0,29,2,9.15,2,Namibia,Windhoek,29 Sep 2024
6339,Jobayer Hossen,SEY,4.0,0,29,2,7.25,1,Mozambique,Nairobi (Gym),22 Oct 2024
6340,DR Mousley,ENG,4.0,0,29,2,7.25,1,West Indies,Bridgetown,10 Nov 2024
6341,T van der Gugten,NED,3.0,0,29,2,9.66,2,Oman,Al Amerat,14 Nov 2024
6342,C Pengkumta,THA,2.0,0,29,2,14.5,1,U.A.E.,Doha,23 Nov 2024
6343,Imran Khan,BHR,3.5,0,29,2,7.56,2,Cambodia,Doha,26 Nov 2024
6344,Muhammad Nadir,RWN,4.0,0,29,2,7.25,1,Botswana,Rwanda,6 Dec 2024
6345,Garret Banner,Blz,4.0,0,29,2,7.25,1,Cayman,Buenos Aires,8 Dec 2024
6346,ROC Dunka,CAY,3.0,0,29,2,9.66,2,Belize,Buenos Aires,8 Dec 2024
6347,AR Ramjani,UGA,4.0,0,29,2,7.25,2,Botswana,Rwanda,9 Dec 2024
6348,Ronald Ebanks,CAY,4.0,0,29,2,7.25,2,Suriname,Buenos Aires,10 Dec 2024
6349,T Gwandu,ZIM,4.0,0,29,2,7.25,1,Afghanistan,Harare,13 Dec 2024
6350,Imran Anwar,BHR,4.0,0,29,2,7.25,1,Oman,ICCA Dubai,17 Dec 2024
6351,Junaid Siddique,UAE,4.0,0,29,2,7.25,2,Qatar,ICCA Dubai,18 Dec 2024
6352,M Theekshana,SL,4.0,0,29,2,7.25,1,New Zealand,Mount Maunganui,28 Dec 2024
6353,Asif Shaikh,BHR,4.0,0,29,2,7.25,2,Singapore,Singapore,28 Feb 2025
6354,Muhammad Jabir,QAT,4.0,0,29,2,7.25,1,Hong Kong,Mong Kok,13 Apr 2025
6355,C Sridev,SGP,3.0,0,29,2,9.66,2,Thailand,Kuala Lumpur,26 Apr 2025
6356,A Desai,USA,4.0,0,29,2,7.25,1,Canada,George Town,27 Apr 2025
6357,Habib Khan,EST,4.0,0,29,2,7.25,1,Malta,Marsa,6 May 2025
6358,Jaswinder Singh,MLT,4.0,0,29,2,7.25,2,Estonia,Marsa,7 May 2025
6359,D Marks,MLT,4.0,0,29,2,7.25,1,Belgium,Zemst,31 May 2025
6360,NT Gireesh,CAM,4.0,0,29,2,7.25,1,Indonesia,Bali,15 Jun 2025
6361,JJ Davidson,SCOT,4.0,0,29,2,7.25,1,Netherlands,Glasgow,18 Jun 2025
6362,KN Gabhane,HUN,3.0,0,29,2,9.66,1,Slovenia,Szodliget,22 Jun 2025
6363,Muhammad Qasim,MLT,4.0,0,29,2,7.25,1,Belgium,Ilfov County,26 Jun 2025
6364,Usman Khan,Fran,4.0,0,29,2,7.25,1,Belgium,Ilfov County,27 Jun 2025
6365,D Jakiel,MWI,4.0,0,29,2,7.25,1,Tanzania,Blantyre,6 Jul 2025
6366,RM Koda,INA,4.0,0,29,2,7.25,2,South Korea,Bali,8 Jul 2025
6367,Fayaz Khan,GER,4.0,0,29,2,7.25,1,Malawi,Blantyre,10 Jul 2025
6368,Sajid Liaqat,GER,4.0,0,29,2,7.25,2,Malawi,Blantyre,13 Jul 2025
6369,SF Tiai,Samoa,4.0,0,29,2,7.25,1,Singapore,Singapore,18 Jul 2025
6370,G Motie,WI,4.0,0,29,2,7.25,2,Australia,Kingston,20 Jul 2025
6371,Khizar Hayat,MAS,4.0,0,29,2,7.25,1,Hong Kong,Singapore,22 Jul 2025
6372,Ishtiaq Ahmad,KSA,4.0,0,29,2,7.25,1,Qatar,Doha,22 Jul 2025
6373,SZ Vayani,MWI,4.0,0,29,2,7.25,1,Rwanda,Rwanda,23 Jul 2025
6374,Habib Khan,EST,4.0,0,29,2,7.25,1,Switzerland,Tallinn,2 Aug 2025
6375,K Rabada,SA,4.0,0,29,2,7.25,1,Australia,Darwin,10 Aug 2025
6376,C Bevin,CRT,4.0,0,29,2,7.25,2,Hungary,Szodliget,29 Aug 2025
6377,LI Salomone,MOZ,4.0,0,29,2,7.25,1,Eswatini,Malkerns,12 Sep 2025
6378,Mahedi Hasan,BAN,4.0,0,29,2,7.25,2,Sri Lanka,Abu Dhabi,13 Sep 2025
6379,PVD Chameera,SL,4.0,0,29,2,7.25,1,Hong Kong,Dubai (DICS),15 Sep 2025
6380,CV Varun,IND,4.0,0,29,2,7.25,2,Bangladesh,Dubai (DICS),24 Sep 2025
6381,Vraj Patel,KENYA,4.0,0,29,2,7.25,1,Nigeria,Harare,30 Sep 2025
6382,K Juma,TAN,4.0,0,29,2,7.25,1,Namibia,Harare,2 Oct 2025
6383,Vraj Patel,KENYA,4.0,0,29,2,7.25,2,Zimbabwe,Harare,2 Oct 2025
6384,Rashid Khan,AFG,4.0,0,29,2,7.25,2,Bangladesh,Sharjah,3 Oct 2025
6385,JA Duffy,NZ,4.0,0,29,2,7.25,2,Australia,Mount Maunganui,4 Oct 2025
6386,NK Yadav,NEP,4.0,0,29,2,7.25,2,Qatar,Al Amerat,13 Oct 2025
6387,Sufyan Mehmood,OMA,4.0,0,29,2,7.25,1,Nepal,Al Amerat,15 Oct 2025
6388,Fazalhaq Farooqi,AFG,4.0,0,29,2,7.25,2,Zimbabwe,Harare,2 Nov 2025
6389,PVD Chameera,SL,3.0,0,29,2,9.66,2,Pakistan,Rawalpindi,22 Nov 2025
6390,T Rossi,Arg,4.0,0,29,2,7.25,1,Brazil,Buenos Aires,29 Nov 2025
6391,Jaikumar Thakur,CRT,3.0,0,29,2,9.66,2,Spain,Cartagena,5 Dec 2025
6392,Soyeb Pendi,Zamb,4.0,0,29,2,7.25,1,Nigeria,Abuja,8 Dec 2025
6393,CV Varun,IND,4.0,0,29,2,7.25,1,South Africa,New Chandigarh,11 Dec 2025
6394,GD Arta,INA,4.0,0,29,2,7.25,2,Cambodia,Bali,23 Dec 2025
6395,Mujeeb Ur Rahman,AFG,4.0,0,29,2,7.25,2,West Indies,Dubai (DICS),19 Jan 2026
6396,Saim Ayub,PAK,3.0,0,29,2,9.66,2,Australia,Lahore,29 Jan 2026
6397,RL Chase,WI,4.0,0,29,2,7.25,2,England,Wankhede,11 Feb 2026
6398,AR Patel,IND,4.0,0,29,2,7.25,2,Pakistan,Colombo (RPS),15 Feb 2026
6399,S Sugaya-Slater,JPN,3.0,0,29,2,9.66,2,Thailand,Bangkok,25 Feb 2026
6400,R Ravindra,NZ,4.0,0,29,2,7.25,1,South Africa,Eden Gardens,4 Mar 2026
6401,SS Cottrell,WI,4.0,1,30,2,7.5,1,England,Bridgetown,22 Jan 2022
6402,PVD Chameera,SL,4.0,0,30,2,7.5,1,Australia,Sydney,13 Feb 2022
6403,PVD Chameera,SL,4.0,0,30,2,7.5,1,Australia,Melbourne,20 Feb 2022
6404,Mohammad Wasim,1,4.0,0,30,2,7.5,2,Australia,Lahore,5 Apr 2022
6405,Amjad Sher,FIN,4.0,0,30,2,7.5,1,Denmark,Brondby,7 May 2022
6406,KJ Ferrary,GIBR,4.0,0,30,2,7.5,2,Bulgaria,Marsa,15 May 2022
6407,Asad Ali Rehemtulla,BUL,3.0,0,30,2,10,1,Serbia,Sofia,25 Jun 2022
6408,JA Fitzgerald,GIBR,3.0,0,30,2,10,1,Denmark,Waterloo,29 Jun 2022
6409,Khizar Hayat,MAS,4.0,0,30,2,7.5,2,Singapore,Singapore,29 Jun 2022
6410,T Kahamker,ISR,4.0,0,30,2,7.5,1,Malta,Gent,1 Jul 2022
6411,N Vanua,PNG,4.0,0,30,2,7.5,1,Singapore,Singapore,2 Jul 2022
6412,Ravi Bishnoi,IND,4.0,0,30,2,7.5,1,England,Nottingham,10 Jul 2022
6413,HJ Manenti,ITA,4.0,1,30,2,7.5,1,Finland,Kerava,13 Jul 2022
6414,Noman Amjad,Fran,4.0,0,30,2,7.5,2,Switzerland,Vantaa,25 Jul 2022
6415,J Bulele,MOZ,4.0,0,30,2,7.5,1,Eswatini,Malkerns,29 Jul 2022
6416,Shahid Mahmood,BHR,3.0,0,30,2,10,1,Kuwait,Al Amerat,13 Aug 2022
6417,Basir Ahamad,NEP,4.0,0,30,2,7.5,2,Kenya,Nairobi (Gym),30 Aug 2022
6418,Mujeeb Ur Rahman,AFG,4.0,0,30,2,7.5,2,Sri Lanka,Sharjah,3 Sep 2022
6419,SF Tiai,Samoa,3.5,0,30,2,7.82,1,Fiji,Port vila,15 Sep 2022
6420,Haris Rauf,PAK,4.0,0,30,2,7.5,1,England,Karachi,22 Sep 2022
6421,CBRLS Kumara,SL,4.0,0,30,2,7.5,1,Afghanistan,Brisbane,1 Nov 2022
6422,GJ Delany,IRE,4.0,0,30,2,7.5,1,New Zealand,Adelaide,4 Nov 2022
6423,Shadab Khan,PAK,4.0,0,30,2,7.5,1,Bangladesh,Adelaide,6 Nov 2022
6424,CB Roposo,MOZ,4.0,0,30,2,7.5,1,Eswatini,Kigali,2 Dec 2022
6425,M Akayezu,RWN,3.0,0,30,2,10,2,Tanzania,Rwanda,16 Dec 2022
6426,GBW Munaweera,QAT,4.0,0,30,2,7.5,1,Singapore,Bangi,19 Dec 2022
6427,HH Pandya,IND,4.0,0,30,2,7.5,2,Sri Lanka,Rajkot,7 Jan 2023
6428,YS Chahal,IND,3.0,0,30,2,10,2,Sri Lanka,Rajkot,7 Jan 2023
6429,Junaid Siddique,UAE,4.0,0,30,2,7.5,2,Afghanistan,Abu Dhabi,16 Feb 2023
6430,T Rossi,Arg,3.0,0,30,2,10,1,Panama,Buenos Aires,25 Feb 2023
6431,Aizaz Khan,HKG,4.0,0,30,2,7.5,2,Bahrain,Mong Kok,8 Mar 2023
6432,Sayed Monib,KUW,4.0,0,30,2,7.5,1,Bahrain,Mong Kok,12 Mar 2023
6433,JDS Neesham,NZ,4.0,0,30,2,7.5,1,Sri Lanka,Auckland,2 Apr 2023
6434,PW Hasaranga,SL,4.0,0,30,2,7.5,2,New Zealand,Auckland,2 Apr 2023
6435,BG Lister,NZ,3.5,0,30,2,7.82,1,Pakistan,Lahore,14 Apr 2023
6436,A Bhargava,SGP,4.0,0,30,2,7.5,2,Indonesia,Phnom Penh,11 May 2023
6437,M Akayezu,RWN,4.0,1,30,2,7.5,2,Kenya,Nairobi (Gym),9 Jun 2023
6438,Waseem Abbas,MLT,4.0,0,30,2,7.5,1,France,Marsa,10 Jul 2023
6439,P Malav,LUX,4.0,0,30,2,7.5,1,France,Marsa,11 Jul 2023
6440,Mustafizur Rahman,BAN,3.0,0,30,2,10,1,Afghanistan,Sylhet,16 Jul 2023
6441,MA Leask,SCOT,3.0,0,30,2,10,2,Ireland,Edinburgh,28 Jul 2023
6442,Basil Hameed,UAE,4.0,0,30,2,7.5,1,New Zealand,Dubai (DICS),17 Aug 2023
6443,R Athapaththu,ROM,4.0,0,30,2,7.5,2,Malta,Ilfov County,20 Aug 2023
6444,TG Southee,NZ,3.3,0,30,2,8.57,2,England,Birmingham,3 Sep 2023
6445,S Bodha,GIBR,4.0,0,30,2,7.5,2,Estonia,Gibraltar,30 Sep 2023
6446,M Aboagye,GHA,4.0,0,30,2,7.5,1,Sierra Leone,Lagos,7 Oct 2023
6447,S Lamichhane,NEP,4.0,0,30,2,7.5,1,Oman,Kirtipur,2 Nov 2023
