,Player_Name,Country,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
6921,J Singye,BHU,28,0,32,1,0,87.5,1,Bahrain,Gelephu,8 Dec 2025
6922,SH Venugopal,SGP,28,0,20,2,1,140,2,Philippines,Bangkok,10 Dec 2025
6923,P Kurup,BHR,28,0,29,1,2,96.55,1,Bhutan,Gelephu,11 Dec 2025
6924,Namgay Thinley,BHU,28,0,15,2,2,186.66,2,Bahrain,Gelephu,12 Dec 2025
6925,Shubman Gill,IND,28,0,28,5,0,100,2,South Africa,Dharamsala,14 Dec 2025
6926,Pyae Phyo Wai,MYAN,28,0,20,2,0,140,1,Bhutan,Gelephu,23 Dec 2025
6927,GC Murtaza,CAM,28,0,21,4,1,133.33,2,Indonesia,Bali,25 Dec 2025
6928,Shah Abrar Hussain,CAM,28,0,18,2,2,155.55,1,Indonesia,Bali,29 Dec 2025
6929,RM Dorji,BHU,28,0,25,4,0,112,1,Myanmar,Gelephu,29 Dec 2025
6930,Mohammad Nawaz,3,28,0,15,2,2,186.66,2,Sri Lanka,Dambulla,11 Jan 2026
6931,G Motie,WI,28,0,15,2,2,186.66,2,Afghanistan,Dubai (DICS),19 Jan 2026
6932,DJ Mitchell,NZ,28,0,18,4,0,155.55,2,India,Nagpur,21 Jan 2026
6933,Ibrahim Zadran,AFG,28,0,27,4,0,103.7,2,West Indies,Dubai (DICS),22 Jan 2026
6934,Ishan Kishan,IND,28,0,13,3,2,215.38,2,New Zealand,Guwahati,25 Jan 2026
6935,Q de Kock,SA,28,0,14,4,1,200,2,West Indies,Johannesburg,31 Jan 2026
6936,MS Chapman,NZ,28,0,17,2,1,164.7,2,Afghanistan,Chennai,8 Feb 2026
6937,V Shukla,OMA,28,0,21,4,0,133.33,1,Zimbabwe,Colombo (SSC),9 Feb 2026
6938,M Levitt,NED,28,0,15,1,3,186.66,2,Namibia,Delhi,10 Feb 2026
6939,Yaseer Nazeer,BHR,28,0,15,6,0,186.66,2,Qatar,Doha,11 Feb 2026
6940,SM Curran,ENG,28,0,20,1,2,140,2,Scotland,Eden Gardens,14 Feb 2026
6941,Sohail Ahmed,BHR,28,0,22,1,2,127.27,2,Qatar,Doha,14 Feb 2026
6942,Milind Kumar,USA,28,0,20,1,1,140,1,Namibia,Chennai,15 Feb 2026
6943,JN Loftie-Eaton,NAM,28,0,17,4,0,164.7,2,U.S.A.,Chennai,15 Feb 2026
6944,PD Salt,ENG,28,0,15,2,2,186.66,1,Italy,Eden Gardens,16 Feb 2026
6945,AK Markram,SA,28,0,11,5,1,254.54,2,U.A.E.,Delhi,18 Feb 2026
6946,Saad Bin Zafar,CAN,28,0,26,3,1,107.69,2,Afghanistan,Chennai,19 Feb 2026
6947,D Myers,ZIM,28,0,15,3,2,186.66,2,West Indies,Wankhede,23 Feb 2026
6948,WG Jacks,ENG,28,0,23,1,2,121.73,2,Pakistan,Pallekele,24 Feb 2026
6949,N Pooran,WI,27,1,29,2,0,93.1,2,England,Bridgetown,22 Jan 2022
6950,J Alegra,PHI,27,1,32,2,0,84.37,2,Nepal,Al Amerat,19 Feb 2022
6951,DS Airee,NEP,27,1,31,3,0,87.09,2,Canada,Al Amerat,21 Feb 2022
6952,MG Erasmus,NAM,27,1,28,1,0,96.42,2,Uganda,Windhoek,8 Apr 2022
6953,Ritik Tomar,CZK-R,27,1,10,1,3,270,1,Gibraltar,Marsa,11 May 2022
6954,Omar Rassol,BUL,27,1,17,2,1,158.82,2,Gibraltar,Marsa,13 May 2022
6955,V Zimonjic,SRB,27,1,15,6,0,180,1,Bulgaria,Sofia,25 Jun 2022
6956,G Schachat,ISR,27,1,32,2,0,84.37,2,Portugal,Waterloo,28 Jun 2022
6957,M Cohen,ISR,27,1,29,1,1,93.1,2,Portugal,Waterloo,28 Jun 2022
6958,EF Beard,IOM,27,1,17,2,1,158.82,1,Serbia,Vantaa,13 Jul 2022
6959,JW Jenner,JER,27,1,31,1,0,87.09,2,Uganda,Bulawayo,15 Jul 2022
6960,VE Tembo,MOZ,27,1,19,3,0,142.1,1,Eswatini,Malkerns,31 Jul 2022
6961,OF Smith,WI,27,1,12,4,1,225,2,New Zealand,Kingston,10 Aug 2022
6962,R Powell,WI,27,1,15,2,2,180,2,New Zealand,Kingston,14 Aug 2022
6963,Haroon Arshad,HKG,27,1,14,3,0,192.85,1,Singapore,Al Amerat,20 Aug 2022
6964,RP Burl,ZIM,27,1,25,2,1,108,2,Bangladesh,Brisbane,30 Oct 2022
6965,J Broad,GER,27,1,27,1,0,100,2,Italy,Almeria,4 Nov 2022
6966,GP Meade,ITA,27,1,26,1,1,103.84,1,Spain,Almeria,5 Nov 2022
6967,STRA de Silva,SEY,27,1,28,1,0,96.42,1,Lesotho,Kigali,20 Nov 2022
6968,Janak Prakash,SGP,27,1,23,0,1,117.39,1,Qatar,Bangi,19 Dec 2022
6969,D Doyle-Calle,ESP,27,1,21,0,2,128.57,2,Isle of Man,Cartagena,25 Feb 2023
6970,S Ghimire,POR,27,1,13,2,2,207.69,2,Gibraltar,Gibraltar,7 May 2023
6971,O Manishimwe,RWN,27,1,14,4,0,192.85,1,Kenya,Nairobi (Gym),9 Jun 2023
6972,AR Ramjani,UGA,27,1,18,2,2,150,2,Botswana,Nairobi (Gym),9 Jun 2023
6973,Waqas Ahmad,MLT,27,1,15,3,2,180,2,France,Marsa,10 Jul 2023
6974,Mukhtar Ghulami,Fran,27,1,21,2,1,128.57,2,Luxembourg,Marsa,12 Jul 2023
6975,B Masaba,UGA,27,1,14,4,0,192.85,1,Tanzania,Rwanda,28 Aug 2023
6976,Asif Khan,UAE,27,1,15,1,3,180,2,Saudi Arabia,Doha,17 Sep 2023
6977,Usman Patel,KUW,27,1,27,0,1,100,2,Qatar,Doha,2 Oct 2023
6978,Gulbadin Naib,AFG,27,1,24,1,2,112.5,1,India,Hangzhou,7 Oct 2023
6979,RP Burl,ZIM,27,1,25,1,1,108,1,Namibia,Windhoek,22 Nov 2023
6980,AR Ramjani,UGA,27,1,26,1,1,103.84,2,Rwanda,Benoni,11 Dec 2023
6981,Huzaifa Mohammed,PHI,27,1,23,1,0,117.39,2,Indonesia,Bali,23 Dec 2023
6982,IKEG Artawan,INA,27,1,16,3,1,168.75,2,Philippines,Bali,24 Dec 2023
6983,AV Lazarus,THA,27,1,21,3,0,128.57,2,Indonesia,Bangkok,7 Feb 2024
6984,Muhamad Syahadat,MAS,27,1,31,2,1,87.09,2,Tanzania,Kuala Lumpur,10 Mar 2024
6985,S Veerapathiran,BHR,27,1,15,5,0,180,2,Kuwait,Al Amerat,15 Apr 2024
6986,PR Surve,INA,27,1,27,1,0,100,2,Thailand,Bali,5 May 2024
6987,K Doriga,PNG,27,1,18,3,0,150,1,West Indies,Providence,2 Jun 2024
6988,T Stubbs,SA,27,1,18,2,1,150,1,Nepal,Kingstown,14 Jun 2024
6989,Javed Maroofkhail,NOR,27,1,34,0,1,79.41,2,Finland,Kerava,15 Jun 2024
6990,N Pooran,WI,27,1,12,1,3,225,2,U.S.A.,Bridgetown,21 Jun 2024
6991,HH Pandya,IND,27,1,17,1,2,158.82,1,Australia,Gros Islet,24 Jun 2024
6992,JS Kundi,KENYA,27,1,18,3,1,150,2,Rwanda,Nairobi,29 Jun 2024
6993,C Munoz-Mills,ESP,27,1,17,3,2,158.82,2,Croatia,Zagreb,2 Aug 2024
6994,JP Inglis,AUS,27,1,13,3,1,207.69,2,Scotland,Edinburgh,4 Sep 2024
6995,Raja Shoaib,SKOR,27,1,27,2,0,100,2,Indonesia,Incheon,2 Oct 2024
6996,ZG Foulkes,NZ,27,1,16,1,1,168.75,1,Sri Lanka,Dambulla,9 Nov 2024
6997,Ali Naseer,UAE,27,1,11,2,2,245.45,1,Qatar,Doha,26 Nov 2024
6998,Abdul Wahid,KSA,27,1,20,2,1,135,1,Qatar,Doha,28 Nov 2024
6999,Irfan Khan,PAK,27,1,15,3,0,180,1,Zimbabwe,Bulawayo,1 Dec 2024
7000,F Achelam,UGA,27,1,23,1,2,117.39,1,Rwanda,Rwanda,12 Dec 2024
7001,R Hashu,POR,27,1,10,1,2,270,1,Norway,Albergaria,9 Apr 2025
7002,KD Abeyrathna,NOR,27,1,19,2,1,142.1,1,Czech Rep.,Vinor,8 Jun 2025
7003,Lakshit Gupta,CAM,27,1,19,3,2,142.1,2,Indonesia,Bali,15 Jun 2025
7004,Jaskaran Singh,CAN,27,1,14,1,3,192.85,1,Bermuda,King City (NW),15 Jun 2025
7005,Muslim Yar,GER,27,1,19,3,1,142.1,2,Malawi,Blantyre,5 Jul 2025
7006,S Maduranga,SKOR,27,1,21,4,0,128.57,1,Philippines,Bali,9 Jul 2025
7007,Towhid Hridoy,BAN,27,1,25,1,1,108,2,Sri Lanka,Colombo (RPS),16 Jul 2025
7008,H Venkataram,SGP,27,1,25,1,1,108,1,Malaysia,Singapore,19 Jul 2025
7009,YI Patel,KUW,27,1,18,1,2,150,1,Oman,Al Amerat,29 Sep 2025
7010,Fakhar Zaman,PAK,27,1,10,1,3,270,1,Zimbabwe,Rawalpindi,23 Nov 2025
7011,CJ Jordan,ENG,27,0,15,2,1,180,1,West Indies,Bridgetown,23 Jan 2022
7012,BKG Mendis,SL,27,0,21,1,2,128.57,1,Australia,Melbourne,18 Feb 2022
7013,Najibullah Zadran,AFG,27,0,26,1,1,103.84,2,Bangladesh,Mirpur,3 Mar 2022
7014,DM Nakrani,UGA,27,0,16,2,2,168.75,2,Namibia,Windhoek,10 Apr 2022
7015,N Khanna,MLT,27,0,22,3,0,122.72,1,Czech Rep.,Marsa,12 May 2022
7016,M Whelan,GIBR,27,0,17,2,1,158.82,1,Bulgaria,Marsa,15 May 2022
7017,Abdul Shakoor,ROM,27,0,24,3,0,112.5,1,Malta,Marsa,15 May 2022
7018,R Mutumbami,ZIM,27,0,21,2,1,128.57,1,Namibia,Bulawayo,22 May 2022
7019,P Nissanka,SL,27,0,25,2,0,108,2,Australia,Pallekele,11 Jun 2022
7020,Ishan Kishan,IND,27,0,26,3,1,103.84,1,South Africa,Rajkot,17 Jun 2022
7021,Ahmed Faiz,MAS,27,0,27,0,3,100,1,Singapore,Singapore,28 Jun 2022
7022,Saber Zakhil,BEL,27,0,18,1,3,150,1,Denmark,Waterloo,1 Jul 2022
7023,Hassan Rasheed,MDV,27,0,19,2,2,142.1,2,Bhutan,Bangi,7 Jul 2022
7024,SKS Gill,LUX,27,0,32,1,0,84.37,1,Czech Rep.,Vinor,8 Jul 2022
7025,JJ Roy,ENG,27,0,26,1,2,103.84,1,India,Nottingham,10 Jul 2022
7026,V Saini,ROM,27,0,26,1,1,103.84,2,Cyprus,Vantaa,13 Jul 2022
7027,M Jenkinson,FIN,27,0,20,1,2,135,1,Italy,Kerava,13 Jul 2022
7028,N Knights,IOM,27,0,16,4,1,168.75,1,Serbia,Vantaa,13 Jul 2022
7029,NA Greenwood,JER,27,0,24,4,0,112.5,2,Uganda,Bulawayo,15 Jul 2022
7030,A McAuley,IOM,27,0,33,2,0,81.81,2,Romania,Kerava,15 Jul 2022
7031,S Ivetic,SRB,27,0,38,0,0,71.05,2,Romania,Vantaa,16 Jul 2022
7032,Shoaib Ahmed,CYP,27,0,23,2,1,117.39,1,Turkey,Vantaa,16 Jul 2022
7033,RW Chakabva,ZIM,27,0,16,2,2,168.75,1,Netherlands,Bulawayo,17 Jul 2022
7034,R Mazumder,CYP,27,0,26,2,1,103.84,1,Serbia,Kerava,18 Jul 2022
7035,Gurpratap Singh,CYP,27,0,15,5,0,180,2,Finland,Kerava,19 Jul 2022
7036,MR Adair,IRE,27,0,22,4,1,122.72,2,New Zealand,Belfast,20 Jul 2022
7037,Habib Ahmadzai,AUT,27,0,22,2,0,122.72,1,Luxembourg,Vantaa,24 Jul 2022
7038,Razmal Shigiwal,AUT,27,0,13,3,1,207.69,1,Luxembourg,Vantaa,24 Jul 2022
7039,Sulaiman Ali,BUL,27,0,11,3,1,245.45,2,Slovenia,Vantaa,27 Jul 2022
7040,Arslan Amjad,EST,27,0,26,3,1,103.84,2,Czech Rep.,Vantaa,28 Jul 2022
7041,KC D'Souza,BUL,27,0,16,0,2,168.75,1,Czech Rep.,Vantaa,31 Jul 2022
7042,Noman Amjad,Fran,27,0,21,1,1,128.57,2,Guernsey,Kerava,31 Jul 2022
7043,JM Bairstow,ENG,27,0,30,2,0,90,2,South Africa,Southampton,31 Jul 2022
7044,RA Jadeja,IND,27,0,30,0,1,90,1,West Indies,Basseterre,1 Aug 2022
7045,Mahmudullah,BAN,27,0,27,1,0,100,2,Zimbabwe,Harare,2 Aug 2022
7046,AK Markram,SA,27,0,10,1,3,270,1,Ireland,Bristol,5 Aug 2022
7047,LJ Tucker,IRE,27,0,28,3,0,96.42,2,Afghanistan,Belfast,11 Aug 2022
7048,Umer Toor,BHR,27,0,20,1,2,135,1,Kuwait,Al Amerat,14 Aug 2022
7049,Meet Bhavsar,KUW,27,0,21,4,0,128.57,2,U.A.E.,Al Amerat,21 Aug 2022
7050,Mahmudullah,BAN,27,0,22,1,1,122.72,1,Sri Lanka,Dubai (DICS),1 Sep 2022
7051,PK Matautaava,VAN,27,0,15,0,2,180,1,Fiji,Port vila,13 Sep 2022
7052,JP Kaltapau,VAN,27,0,37,2,0,72.97,2,Samoa,Port vila,14 Sep 2022
7053,LN Oluoch,KENYA,27,0,12,4,1,225,1,Malawi,Benoni,16 Sep 2022
7054,V Mbazo,BOT,27,0,21,3,1,128.57,1,Mozambique,Benoni,19 Sep 2022
7055,Sami Sohail,MWI,27,0,32,2,0,84.37,2,Tanzania,Benoni,20 Sep 2022
7056,Mosaddek Hossain,BAN,27,0,22,2,1,122.72,1,U.A.E.,Dubai (DICS),27 Sep 2022
7057,AD Hales,ENG,27,0,12,4,1,225,2,Pakistan,Lahore,30 Sep 2022
7058,Khushdil Shah,PAK,27,0,25,1,1,108,2,England,Lahore,2 Oct 2022
7059,RR Pant,IND,27,0,14,3,2,192.85,2,South Africa,Indore,4 Oct 2022
7060,OF Smith,WI,27,0,17,3,1,158.82,1,Australia,Carrara,5 Oct 2022
7061,Iftikhar Ahmed,PAK,27,0,27,3,0,100,1,New Zealand,Christchurch,11 Oct 2022
7062,C Campher,IRE,27,0,22,1,0,122.72,2,Zimbabwe,Hobart,17 Oct 2022
7063,W Madhevere,ZIM,27,0,19,3,1,142.1,2,West Indies,Hobart,19 Oct 2022
7064,CN Ackermann,NED,27,0,27,2,0,100,1,Pakistan,Perth,30 Oct 2022
7065,Usman Ghani,AFG,27,0,27,2,1,100,1,Sri Lanka,Brisbane,1 Nov 2022
7066,Mohammad Yasin,ESP,27,0,19,1,2,142.1,2,Italy,Almeria,5 Nov 2022
7067,Talha Khan,GER,27,0,26,2,0,103.84,1,Spain,Almeria,5 Nov 2022
7068,DA Blignaut,GER,27,0,34,1,1,79.41,2,Spain,Almeria,6 Nov 2022
7069,RG Sharma,IND,27,0,28,4,0,96.42,1,England,Adelaide,10 Nov 2022
7070,Pargat Singh,CAN,27,0,26,2,1,103.84,1,Saudi Arabia,Al Amerat,15 Nov 2022
7071,Rafiullah,OMA,27,0,14,2,2,192.85,1,Bahrain,Al Amerat,15 Nov 2022
7072,Kashif Siddique,KSA,27,0,30,2,1,90,2,Bahrain,Al Amerat,16 Nov 2022
7073,Waseem Yaqoob,LES,27,0,30,3,1,90,2,Kenya,Kigali,21 Nov 2022
7074,W Niyitanga,RWN,27,0,22,2,0,122.72,1,Lesotho,Kigali,25 Nov 2022
7075,A Shreshta,NGA,27,0,34,3,0,79.41,2,Sierra Leone,Rwanda,2 Dec 2022
7076,JJ Huo,MOZ,27,0,30,2,0,90,1,Gambia,Kigali,8 Dec 2022
7077,Aman Desai,SGP,27,0,17,2,1,158.82,1,Qatar,Bangi,15 Dec 2022
7078,Haider Butt,BHR,27,0,18,0,2,150,1,Qatar,Bangi,18 Dec 2022
7079,AJ Jabiri,TAN,27,0,34,3,0,79.41,2,Rwanda,Rwanda,18 Dec 2022
7080,Virandeep Singh,MAS,27,0,20,3,1,135,1,Qatar,Bangi,21 Dec 2022
7081,O Tuyisenge,RWN,27,0,29,4,0,93.1,2,Uganda,Rwanda,23 Dec 2022
7082,C Campher,IRE,27,0,28,2,0,96.42,1,Zimbabwe,Harare,15 Jan 2023
7083,Hazratullah Zazai,AFG,27,0,29,2,0,93.1,1,U.A.E.,Abu Dhabi,18 Feb 2023
7084,D Jansen,IOM,27,0,32,1,1,84.37,1,Spain,Cartagena,26 Feb 2023
7085,P Chin,CAY,27,0,25,1,0,108,1,Panama,Buenos Aires,2 Mar 2023
7086,Zubaidi Zulkifle,MAS,27,0,19,2,2,142.1,1,Bahrain,Mong Kok,9 Mar 2023
7087,Nizakat Khan,HKG,27,0,27,1,1,100,1,Malaysia,Mong Kok,12 Mar 2023
7088,J Rasu,VAN,27,0,23,2,0,117.39,1,Samoa,Suva,13 Mar 2023
7089,S Tuitoga,Fiji,27,0,31,3,1,87.09,2,Vanuatu,Suva,16 Mar 2023
7090,RA Reifer,WI,27,0,18,1,2,150,1,South Africa,Johannesburg,28 Mar 2023
7091,TWM Latham,NZ,27,0,16,5,0,168.75,2,Sri Lanka,Auckland,2 Apr 2023
7092,Faheem Ashraf,PAK,27,0,14,2,2,192.85,2,New Zealand,Lahore,17 Apr 2023
7093,Kuldeep,POR,27,0,21,3,1,128.57,1,Malta,Gibraltar,4 May 2023
7094,ASF Sirah,PHI,27,0,15,2,1,180,2,Cambodia,Phnom Penh,10 May 2023
7095,HAM Shah,DEN,27,0,20,1,2,135,2,Finland,Brondby,19 May 2023
7096,E Dusingizimana,RWN,27,0,20,3,0,135,1,Uganda,Nairobi (Gym),15 Jun 2023
7097,S Ssesazi,UGA,27,0,18,3,1,150,2,Botswana,Nairobi (Gym),17 Jun 2023
7098,WK Bitis,CRT,27,0,20,4,1,135,1,Bulgaria,Sofia,23 Jun 2023
7099,Iqbal Hossain,AUT,27,0,27,3,0,100,1,Isle of Man,Castletown,9 Jul 2023
7100,Abdul Shakoor,ROM,27,0,36,0,1,75,2,France,Marsa,13 Jul 2023
7101,MJ Richardson,GER,27,0,20,3,2,135,2,Denmark,Edinburgh,23 Jul 2023
7102,S Desungnoen,THA,27,0,17,4,1,158.82,2,Bhutan,Kuala Lumpur,31 Jul 2023
7103,WK Bitis,CRT,27,0,10,3,2,270,2,Hungary,Szodliget,5 Aug 2023
7104,Naseem Khan,CRT,27,0,22,2,2,122.72,1,Hungary,Szodliget,6 Aug 2023
7105,Ishan Kishan,IND,27,0,23,2,2,117.39,1,West Indies,Providence,6 Aug 2023
7106,NT Tilak Varma,IND,27,0,18,3,2,150,1,West Indies,Lauderhill,13 Aug 2023
7107,Rohit Kumar,ROM,27,0,17,4,1,158.82,1,Malta,Ilfov County,20 Aug 2023
7108,S Thakor,TAN,27,0,15,2,2,180,1,Rwanda,Rwanda,31 Aug 2023
7109,T Stubbs,SA,27,0,20,3,1,135,1,Australia,Durban,1 Sep 2023
7110,Umer Toor,BHR,27,0,27,1,2,100,1,Kuwait,Doha,16 Sep 2023
7111,Saqlain Arshad,QAT,27,0,22,3,1,122.72,2,U.A.E.,Doha,20 Sep 2023
7112,H Hiri,PNG,27,0,14,0,3,192.85,1,Hong Kong,Kuala Lumpur,21 Sep 2023
7113,Saad Khan,KSA,27,0,29,2,1,93.1,1,Maldives,Doha,28 Sep 2023
7114,RR Sharan,CAM,27,0,34,4,1,79.41,1,Hong Kong,Hangzhou,29 Sep 2023
7115,Saqlain Arshad,QAT,27,0,24,5,0,112.5,1,Saudi Arabia,Doha,29 Sep 2023
7116,N Dutta,CAN,27,0,16,2,2,168.75,2,Bermuda,Sandys Parish,30 Sep 2023
7117,Ali Masood,EST,27,0,26,2,0,103.84,2,Gibraltar,Gibraltar,30 Sep 2023
7118,Hisham Shaikh,KSA,27,0,19,2,0,142.1,2,Kuwait,Doha,1 Oct 2023
7119,R Sandaruwan,KUW,27,0,17,2,2,158.82,2,Maldives,Doha,4 Oct 2023
7120,Faisal Khan,KSA,27,0,13,4,1,207.69,2,Qatar,Doha,4 Oct 2023
7121,O Tuyisenge,RWN,27,0,45,1,1,60,1,Nigeria,Lagos,7 Oct 2023
7122,A Sharafu,UAE,27,0,27,2,1,100,2,Bahrain,Mulpani,30 Oct 2023
7123,Aasif Sheikh,NEP,27,0,26,2,1,103.84,2,Singapore,Kirtipur,30 Oct 2023
7124,IA Karim,KENYA,27,0,26,2,0,103.84,1,Tanzania,Windhoek,25 Nov 2023
7125,SR Bhudia,KENYA,27,0,23,1,1,117.39,2,Uganda,Windhoek,29 Nov 2023
7126,T Marumani,ZIM,27,0,22,1,3,122.72,1,Kenya,Windhoek,30 Nov 2023
7127,BJ Bennett,ZIM,27,0,19,1,2,142.1,1,Ireland,Harare,10 Dec 2023
7128,C Madande,ZIM,27,0,27,3,0,100,1,Ireland,Harare,10 Dec 2023
7129,LS Livingstone,ENG,27,0,19,1,2,142.1,1,West Indies,Bridgetown,12 Dec 2023
7130,R Bakum,GHA,27,0,27,3,0,100,1,Kenya,Benoni,13 Dec 2023
7131,J Charles,WI,27,0,22,1,2,122.72,2,England,Tarouba,21 Dec 2023
7132,HER Tyler,PHI,27,0,25,4,0,108,1,Indonesia,Bali,22 Dec 2023
7133,Muhammad Waseem,UAE,27,0,25,4,0,108,1,Afghanistan,Sharjah,2 Jan 2024
7134,Saim Ayub,PAK,27,0,8,2,3,337.5,2,New Zealand,Auckland,12 Jan 2024
7135,Lakshit Gupta,CAM,27,0,12,0,3,225,1,China,Bangkok,28 Jan 2024
7136,KC Ramamoorthy,INA,27,0,19,4,0,142.1,2,Saudi Arabia,Bangkok,5 Feb 2024
7137,Aizaz Khan,HKG,27,0,26,2,1,103.84,1,China,Mong Kok,14 Feb 2024
7138,Mohammad Nabi,AFG,27,0,17,1,2,158.82,2,Sri Lanka,Dambulla,19 Feb 2024
7139,MW Short,AUS,27,0,11,1,3,245.45,1,New Zealand,Auckland,25 Feb 2024
7140,S Muniandy,MAS,27,0,21,2,1,128.57,1,Vanuatu,Kuala Lumpur,6 Mar 2024
7141,B Bhandari,NEP,27,0,22,2,1,122.72,1,P.N.G.,Mong Kok,12 Mar 2024
7142,JN Loftie-Eaton,NAM,27,0,26,1,1,103.84,1,Nigeria,Accra,18 Mar 2024
7143,R Baaleri,GHA,27,0,35,1,1,77.14,2,Uganda,Accra,18 Mar 2024
7144,Mohammad Ishaq,AFG,27,0,22,3,0,122.72,1,Ireland,Sharjah,18 Mar 2024
7145,LM Gabriel,LES,27,0,47,1,0,57.44,2,Eswatini,Malkerns,29 Mar 2024
7146,NR Kirton,CAN,27,0,23,1,0,117.39,1,U.S.A.,Prairie View,7 Apr 2024
7147,Pargat Singh,CAN,27,0,26,3,0,103.84,2,U.S.A.,Prairie View,9 Apr 2024
7148,Usman Patel,KUW,27,0,24,3,1,112.5,1,U.A.E.,Al Amerat,12 Apr 2024
7149,S Kaveri,Mex,27,0,25,2,0,108,1,Costa Rica,Guacima,12 Apr 2024
7150,Mohammad Ihsan,ESP,27,0,18,3,1,150,2,Jersey,Cartagena,14 Apr 2024
7151,MG Bracewell,NZ,27,0,20,2,0,135,1,Pakistan,Lahore,25 Apr 2024
7152,Usman Khan,Fran,27,0,25,1,1,108,2,Belgium,Dreux,10 May 2024
7153,BFW de Leede,NED,27,0,27,3,0,100,2,Scotland,The Hague,22 May 2024
7154,Vikramjit Singh,NED,27,0,22,3,0,122.72,2,Ireland,The Hague,24 May 2024
7155,AGS Gous,USA,27,0,15,5,1,180,1,Bangladesh,Prairie View,25 May 2024
7156,N Pooran,WI,27,0,27,1,2,100,2,P.N.G.,Providence,2 Jun 2024
7157,Mehran Khan,OMA,27,0,16,1,2,168.75,2,Australia,Bridgetown,5 Jun 2024
7158,TC Barker,LUX,27,0,31,3,1,87.09,2,Italy,Spinaceto,9 Jun 2024
7159,Said Hakim,BEL,27,0,28,4,0,96.42,1,Guernsey,Waterloo,9 Jun 2024
7160,Bilal Zalmai,AUT,27,0,18,4,1,150,2,Portugal,Rome,12 Jun 2024
7161,NR Kumar,USA,27,0,23,2,1,117.39,1,India,New York,12 Jun 2024
7162,K Doriga,PNG,27,0,32,2,0,84.37,1,Afghanistan,Tarouba,13 Jun 2024
7163,AK Sah,NEP,27,0,24,3,1,112.5,2,South Africa,Kingstown,14 Jun 2024
7164,Abhishek Ahuja,HUN,27,0,21,3,0,128.57,2,Austria,Rome,15 Jun 2024
7165,D Wiese,NAM,27,0,12,2,2,225,2,England,North Sound,15 Jun 2024
7166,Kushal Malla,NEP,27,0,40,1,1,67.5,2,Bangladesh,Kingstown,16 Jun 2024
7167,M Gunasekara,CYP,27,0,17,1,2,158.82,1,Estonia,Episkopi,17 Jun 2024
7168,J Chialoufas,CYP,27,0,18,2,1,150,1,Estonia,Episkopi,17 Jun 2024
7169,S Dube,IND,27,0,16,3,1,168.75,1,South Africa,Bridgetown,29 Jun 2024
7170,D Ndikubwimana,RWN,27,0,22,5,0,122.72,1,Malawi,Nairobi,6 Jul 2024
7171,C Rubagumya,RWN,27,0,21,2,1,128.57,1,Malawi,Nairobi,6 Jul 2024
7172,Washington Sundar,IND,27,0,34,1,1,79.41,2,Zimbabwe,Harare,6 Jul 2024
7173,B Kohler-Cadmore,GER,27,0,20,2,2,135,1,Gibraltar,Krefeld,8 Jul 2024
7174,Fayaz Khan,GER,27,0,10,1,3,270,1,Gibraltar,Krefeld,8 Jul 2024
7175,Muhammad Siddiqui,SVN,27,0,25,4,0,108,2,Gibraltar,Krefeld,10 Jul 2024
7176,T Marumani,ZIM,27,0,24,5,0,112.5,2,India,Harare,14 Jul 2024
7177,M Faraz Akram,ZIM,27,0,13,2,2,207.69,2,India,Harare,14 Jul 2024
7178,N Mugabe,KENYA,27,0,16,1,2,168.75,2,Nigeria,Nairobi,17 Jul 2024
7179,C Tommy,VAN,27,0,25,1,2,108,1,Cook Islands,Apia (No 2),21 Aug 2024
7180,M Gogev,BUL,27,0,24,2,1,112.5,1,Guernsey,Port Soif,21 Aug 2024
7181,TS Bharaj,DEN,27,0,20,3,0,135,1,Czech Rep.,Castel,21 Aug 2024
7182,Babar Hayat,HKG,27,0,22,2,2,122.72,1,Kuwait,Kuala Lumpur,24 Aug 2024
7183,Sajid Khan Afridi,GRC,27,0,22,1,2,122.72,1,Spain,Port Soif,25 Aug 2024
7184,RD Rickelton,SA,27,0,24,2,2,112.5,1,West Indies,Tarouba,27 Aug 2024
7185,Ghulam Abbas Butt,FIN,27,0,23,4,1,117.39,2,Spain,Castel,28 Aug 2024
7186,MP O'Dowd,NED,27,0,22,4,0,122.72,1,U.S.A.,The Hague,28 Aug 2024
7187,Umar Adam,MDV,27,0,13,1,3,207.69,2,Kuwait,Bangi,2 Sep 2024
7188,MH Cross,SCOT,27,0,21,3,0,128.57,1,Australia,Edinburgh,4 Sep 2024
7189,AK Sah,NEP,27,0,21,3,1,128.57,1,Oman,King City (NW),29 Sep 2024
7190,Aasif Sheikh,NEP,27,0,22,1,2,122.72,1,Oman,King City (NW),29 Sep 2024
7191,Najmul Hossain Shanto,BAN,27,0,25,1,1,108,1,India,Gwalior,6 Oct 2024
7192,AK Sah,NEP,27,0,18,2,1,150,1,U.S.A.,Dallas,17 Oct 2024
7193,Aasif Sheikh,NEP,27,0,27,4,0,100,1,U.S.A.,Dallas,17 Oct 2024
7194,S Pradhan,BHU,27,0,35,1,0,77.14,2,Thailand,Gelephu,19 Oct 2024
7195,DJ Hawoe,INA,27,0,19,0,2,142.1,1,Thailand,Gelephu,20 Oct 2024
7196,Sikandar Raza,ZIM,27,0,28,2,1,96.42,1,Kenya,Nairobi (Gym),24 Oct 2024
