,Player,Matches,Innings,Not_Out,Runs,Highest_Score,Average,Balls_Faced,SR,Hundreds,Fifties,Zeros,Fours,Sixes,Player_Name,Country
540,L Lamin (SLE),4,4,1,114,37,38,87,131.03,0,0,0,6,8,L Lamin,SLE
541,S Ramakrishnan (CZK-R),4,4,0,114,67,28.5,90,126.66,0,1,0,15,1,S Ramakrishnan,CZK-R
542,J Alegra (PHI),8,8,0,113,41,14.12,126,89.68,0,0,1,7,4,J Alegra,PHI
543,Azhar Andani (POR),9,9,0,113,29,12.55,150,75.33,0,0,0,12,0,Azhar Andani,POR
544,HK Kukreja (SGP),6,6,0,113,51,18.83,115,98.26,0,1,1,12,0,HK Kukreja,SGP
545,Rohit Kumar (ROM),6,6,0,112,27,18.66,87,128.73,0,0,0,16,4,Rohit Kumar,ROM
546,G Singh (Sur),5,5,3,112,39*,56,102,109.8,0,0,1,13,0,G Singh,Sur
547,J Trembeath-Moro (ESP),5,5,1,112,39,28,129,86.82,0,0,0,8,3,J Trembeath-Moro,ESP
548,Mehidy Hasan Miraz (BAN),5,5,0,111,46,22.2,93,119.35,0,0,0,10,3,Mehidy Hasan Miraz,BAN
549,SY Nihute (MWI),3,3,0,111,56,37,93,119.35,0,1,0,6,4,SY Nihute,MWI
550,MJ Scotland (BER),4,4,2,111,57*,55.5,108,102.77,0,1,0,8,2,MJ Scotland,BER
551,MD Gunathilaka (SL),10,10,0,110,38,11,93,118.27,0,0,3,10,5,MD Gunathilaka,SL
552,SM Tupou (Fiji),7,7,0,110,30,15.71,120,91.66,0,0,0,11,3,SM Tupou,Fiji
553,Habib Ahmadzai (AUT),7,7,1,109,39,18.16,100,109,0,0,1,11,2,Habib Ahmadzai,AUT
554,Rasheed Ali Mamadkhel (SVN),5,5,0,109,33,21.8,79,137.97,0,0,0,7,6,Rasheed Ali Mamadkhel,SVN
555,Jaspal Singh (MLT),6,6,2,108,65*,27,109,99.08,0,1,1,9,6,Jaspal Singh,MLT
556,Waqar Ul Hassan (KSA),5,5,1,108,44,27,98,110.2,0,0,1,11,3,Waqar Ul Hassan,KSA
557,Bilal Masud (EST),4,4,0,107,82,26.75,68,157.35,0,1,1,7,7,Bilal Masud,EST
558,J Chialoufas (CYP),7,7,1,107,37,17.83,109,98.16,0,0,3,8,3,J Chialoufas,CYP
559,Musa Shaheen (DEN),4,4,0,107,45,26.75,82,130.48,0,0,0,6,7,Musa Shaheen,DEN
560,S Nadigotla (ROM),11,11,0,107,41,9.72,134,79.85,0,0,1,8,2,S Nadigotla,ROM
561,HMHE Parsons (SKOR),8,8,0,107,47,13.37,85,125.88,0,0,0,10,6,HMHE Parsons,SKOR
562,I Tchakou (CAM),15,15,0,106,26,7.06,125,84.8,0,0,3,16,1,I Tchakou,CAM
563,EF Beard (IOM),7,7,0,105,35,15,90,116.66,0,0,2,13,2,EF Beard,IOM
564,Awais Ahmed (ESP),10,10,1,104,42,11.55,93,111.82,0,0,2,12,5,Awais Ahmed,ESP
565,SA Edwards (NED),4,4,2,104,48*,52,93,111.82,0,0,0,5,1,SA Edwards,NED
566,K Klesse (GER),3,3,0,104,42,34.66,95,109.47,0,0,0,9,3,K Klesse,GER
567,SKDT Madusanka (SEY),7,7,2,104,50*,20.8,103,100.97,0,1,1,8,3,SKDT Madusanka,SEY
568,D Marsic (CRT),6,6,0,104,37,17.33,152,68.42,0,0,0,9,2,D Marsic,CRT
569,V Mbazo (BOT),13,13,1,104,27,8.66,129,80.62,0,0,2,9,1,V Mbazo,BOT
570,WJ Cope (LUX),8,8,0,103,49,12.87,78,132.05,0,0,3,16,0,WJ Cope,LUX
571,F Khaliq (BEL),8,8,2,103,49*,17.16,94,109.57,0,0,1,9,1,F Khaliq,BEL
572,Tanzeel Sheikh (KENYA),8,8,0,103,48,12.87,81,127.16,0,0,2,12,5,Tanzeel Sheikh,KENYA
573,OJR Groves (SVN),2,2,1,102,74*,102,69,147.82,0,1,0,9,5,OJR Groves,SVN
574,Mustafa Omer (Fran),6,6,0,102,33,17,109,93.57,0,0,1,7,5,Mustafa Omer,Fran
575,JL Smith (ENG),3,3,0,102,60,34,51,200,0,1,0,8,7,JL Smith,ENG
576,A Yon (STHEL),6,6,1,102,67,20.4,87,117.24,0,1,2,7,5,A Yon,STHEL
577,RL Chase (WI),3,3,0,100,60,33.33,58,172.41,0,1,1,14,3,RL Chase,WI
578,PB Gouge (JER),2,2,0,100,52,50,65,153.84,0,1,0,4,7,PB Gouge,JER
579,PHKD Mendis (SL),6,6,0,100,37,16.66,93,107.52,0,0,0,9,5,PHKD Mendis,SL
580,CP Rizwan (UAE),3,3,2,100,48,100,84,119.04,0,0,0,6,3,CP Rizwan,UAE
581,M Sohel Patel (PAN),9,9,0,100,42,11.11,95,105.26,0,0,1,9,5,M Sohel Patel,PAN
582,Tarun Sharma (SVN),10,10,0,100,37,10,118,84.74,0,0,2,10,2,Tarun Sharma,SVN
583,CF Tlali (LES),7,7,0,100,42,14.28,108,92.59,0,0,2,6,3,CF Tlali,LES
584,Abhishek Ahuja (HUN),6,6,0,99,33,16.5,111,89.18,0,0,1,12,1,Abhishek Ahuja,HUN
585,Muhammad Moiz (ROM),11,11,0,99,25,9,71,139.43,0,0,3,10,6,Muhammad Moiz,ROM
586,Festus Benn (BHM),10,10,1,98,32*,10.88,135,72.59,0,0,1,9,2,Festus Benn,BHM
587,D la Cock (NAM),5,5,0,98,66,19.6,84,116.66,0,1,1,8,5,D la Cock,NAM
588,C Potgieter (POR),4,4,0,98,44,24.5,67,146.26,0,0,1,6,8,C Potgieter,POR
589,MJ Santner (NZ),4,4,1,98,77*,32.66,70,140,0,1,0,12,4,MJ Santner,NZ
590,RA Tripathi (IND),5,5,0,97,44,19.4,67,144.77,0,0,1,11,5,RA Tripathi,IND
591,Aaron Jones (USA),7,7,0,95,38,13.57,98,96.93,0,0,0,8,1,Aaron Jones,USA
592,Abdullah Khan Lodhi (TKY),4,4,0,95,36,23.75,109,87.15,0,0,0,10,0,Abdullah Khan Lodhi,TKY
593,SJ Baard (NAM),5,5,1,95,52*,23.75,98,96.93,0,1,0,10,1,SJ Baard,NAM
594,Waseem Yaqoob (LES),4,4,1,95,31,31.66,100,95,0,0,0,7,3,Waseem Yaqoob,LES
595,C Veretaki (Fiji),3,3,0,94,60,31.33,87,108.04,0,1,1,13,2,C Veretaki,Fiji
596,Aamir Lal (SKOR),5,5,0,93,48,18.6,50,186,0,0,0,4,9,Aamir Lal,SKOR
597,Aryan Lakra (UAE),7,7,1,93,63*,15.5,86,108.13,0,1,1,5,5,Aryan Lakra,UAE
598,Breeze Ahir (PAN),8,8,1,93,28*,13.28,108,86.11,0,0,1,9,1,Breeze Ahir,PAN
599,E Solomon (ISR),4,4,0,93,40,23.25,81,114.81,0,0,0,12,0,E Solomon,ISR
600,Thuya Aung (MYAN),7,6,0,93,37,15.5,141,65.95,0,0,0,7,3,Thuya Aung,MYAN
601,TH Tector (IRE),4,4,0,92,38,23,58,158.62,0,0,0,13,3,TH Tector,IRE
602,DA Mehta (TAN),8,8,1,91,36*,13,90,101.11,0,0,2,16,1,DA Mehta,TAN
603,Naeem Gull (SWZ),3,3,1,91,63*,45.5,79,115.18,0,1,0,13,2,Naeem Gull,SWZ
604,Noor Ali Zadran (AFG),3,3,0,91,51,30.33,89,102.24,0,1,0,10,3,Noor Ali Zadran,AFG
605,Omair Yousuf (PAK),7,7,2,91,24,18.2,83,109.63,0,0,1,8,3,Omair Yousuf,PAK
606,Anamul Haque (BAN),7,7,0,90,26,12.85,94,95.74,0,0,0,8,2,Anamul Haque,BAN
607,Ismail Ali (MDV),9,9,1,90,33,11.25,100,90,0,0,1,7,4,Ismail Ali,MDV
608,Shoaib Ahmed (CYP),5,5,0,90,30,18,84,107.14,0,0,1,10,2,Shoaib Ahmed,CYP
609,CP Turkich (CRT),6,6,0,89,20,14.83,143,62.23,0,0,0,6,0,CP Turkich,CRT
610,J Singye (BHU),5,5,0,88,46,17.6,132,66.66,0,0,0,4,0,J Singye,BHU
611,C Brennan (JER),5,5,1,87,67*,21.75,72,120.83,0,1,1,10,4,C Brennan,JER
612,B Kohler-Cadmore (GER),4,4,0,87,38,21.75,60,145,0,0,0,8,6,B Kohler-Cadmore,GER
613,I Takahashi (JPN),8,8,0,87,26,10.87,92,94.56,0,0,0,7,1,I Takahashi,JPN
614,B Bhandari (NEP),4,4,0,86,42,21.5,61,140.98,0,0,0,8,4,B Bhandari,NEP
615,Ibrahim Rahimi (NOR),6,6,0,86,25,14.33,61,140.98,0,0,0,6,6,Ibrahim Rahimi,NOR
616,Shafat Ali Syed (ESP),6,6,0,86,51,14.33,54,159.25,0,1,1,6,7,Shafat Ali Syed,ESP
617,P Stroud (Falk),5,5,0,86,51,17.2,92,93.47,0,1,0,6,4,P Stroud,Falk
618,JNX du Plooy (HUN),4,4,1,85,44*,28.33,61,139.34,0,0,0,3,5,JNX du Plooy,HUN
619,A Rajshekara (ROM),3,3,0,85,50,28.33,81,104.93,0,1,0,8,3,A Rajshekara,ROM
620,Ramanjot Singh (SVN),4,4,0,85,46,21.25,84,101.19,0,0,0,10,1,Ramanjot Singh,SVN
621,Ritik Tomar (CZK-R),6,6,0,85,37,14.16,96,88.54,0,0,0,8,2,Ritik Tomar,CZK-R
622,G Fatouros (GRC),4,4,0,84,50,21,72,116.66,0,1,0,7,4,G Fatouros,GRC
623,S Hook (EST),7,7,0,84,37,12,92,91.3,0,0,2,6,4,S Hook,EST
624,N Nuntarach (THA),13,13,0,84,24,6.46,130,64.61,0,0,2,6,1,N Nuntarach,THA
625,PR Surve (INA),3,3,1,84,46,42,68,123.52,0,0,0,8,3,PR Surve,INA
626,NR Welch (ZIM),6,6,0,84,25,14,79,106.32,0,0,1,11,1,NR Welch,ZIM
627,G Angeletti (Arg),9,9,1,83,18*,10.37,103,80.58,0,0,2,6,2,G Angeletti,Arg
628,D Long Martinez (ESP),2,2,0,83,79,41.5,56,148.21,0,1,0,8,4,D Long Martinez,ESP
629,K Sathish (SGP),5,5,0,83,26,16.6,78,106.41,0,0,0,10,2,K Sathish,SGP
630,SA Ahmad (DEN),3,3,0,82,44,27.33,69,118.84,0,0,0,10,1,SA Ahmad,DEN
631,Mirza Ahsan (AUT),5,5,0,81,57,16.2,55,147.27,0,1,1,11,3,Mirza Ahsan,AUT
632,Raja Shoaib (SKOR),5,5,0,81,33,16.2,105,77.14,0,0,0,11,0,Raja Shoaib,SKOR
633,Tshering Tashi (2) (BHU),6,6,0,81,38,13.5,106,76.41,0,0,0,6,3,Tshering Tashi,2
634,RP Burl (ZIM),3,3,0,80,35,26.66,51,156.86,0,0,0,8,3,RP Burl,ZIM
635,D Jansen (IOM),6,6,0,80,27,13.33,105,76.19,0,0,0,5,1,D Jansen,IOM
636,PV Rarotoga (Samoa),3,3,0,80,56,26.66,52,153.84,0,1,0,11,3,PV Rarotoga,Samoa
637,A Turkmen (TKY),3,3,1,80,40*,40,37,216.21,0,0,0,11,4,A Turkmen,TKY
638,G Venkateswaran (LUX),7,7,0,80,25,11.42,94,85.1,0,0,0,7,2,G Venkateswaran,LUX
639,Yahya Suhail (TLS),7,7,1,80,53*,13.33,151,52.98,0,1,0,7,1,Yahya Suhail,TLS
640,Atif Rasheed (FIN),6,6,0,79,29,13.16,86,91.86,0,0,2,7,2,Atif Rasheed,FIN
641,W Maximo (BRA),6,6,0,79,25,13.16,111,71.17,0,0,0,8,0,W Maximo,BRA
642,M Beitaki (Fiji),6,6,0,78,28,13,92,84.78,0,0,1,8,1,M Beitaki,Fiji
643,D Foxcroft (NZ),3,3,0,78,34,26,69,113.04,0,0,0,2,5,D Foxcroft,NZ
644,DS Maraiwai (Fiji),7,7,0,78,20,11.14,70,111.42,0,0,1,10,3,DS Maraiwai,Fiji
645,HS Nyakatawa (SWZ),6,6,0,78,29,13,131,59.54,0,0,0,12,0,HS Nyakatawa,SWZ
646,Arslan Basharat (HUN),4,4,0,77,54,19.25,81,95.06,0,1,0,5,3,Arslan Basharat,HUN
647,A Beresford-Peirse (CRT),4,4,0,77,35,19.25,101,76.23,0,0,0,3,2,A Beresford-Peirse,CRT
648,K Hinds (BHM),9,9,0,77,53,8.55,83,92.77,0,1,4,6,5,K Hinds,BHM
649,B Ito-Davis (JPN),5,5,0,77,29,15.4,67,114.92,0,0,0,5,0,B Ito-Davis,JPN
650,A Kaul (SGP),5,5,0,77,56,15.4,93,82.79,0,1,1,6,3,A Kaul,SGP
651,GR Russ (PHI),5,5,1,77,43*,19.25,97,79.38,0,0,2,6,0,GR Russ,PHI
652,Sachin Mandy (GER),5,5,0,77,34,15.4,84,91.66,0,0,1,7,2,Sachin Mandy,GER
653,N Acawei (Fiji),6,6,0,76,25,12.66,96,79.16,0,0,1,6,3,N Acawei,Fiji
654,K Doriga (PNG),9,8,2,76,32*,12.66,84,90.47,0,0,0,10,2,K Doriga,PNG
655,AE Isesele (NGA),7,7,2,76,44,15.2,65,116.92,0,0,1,6,4,AE Isesele,NGA
656,Mansoor Malangzai (BEL),3,3,0,76,33,25.33,47,161.7,0,0,0,8,4,Mansoor Malangzai,BEL
657,Muhammad Younis (BHR),7,7,0,76,30,10.85,92,82.6,0,0,1,8,0,Muhammad Younis,BHR
658,Zeeshan Maqsood (OMA),1,1,1,76,76*,0,44,172.72,0,1,0,6,5,Zeeshan Maqsood,OMA
659,J Dzulfikar (INA),8,8,1,75,25,10.71,101,74.25,0,0,0,7,1,J Dzulfikar,INA
660,M Gunasekara (CYP),4,4,1,75,30*,25,63,119.04,0,0,1,4,4,M Gunasekara,CYP
661,M Machado (POR),6,6,2,75,54*,18.75,66,113.63,0,1,0,9,2,M Machado,POR
662,Zain Asif (BUL),3,3,0,75,43,25,47,159.57,0,0,0,6,6,Zain Asif,BUL
663,Abdul Rahman (SGP),4,4,0,74,67,18.5,70,105.71,0,1,1,6,1,Abdul Rahman,SGP
664,GS Bajwa (ESP),3,3,1,74,38*,37,57,129.82,0,0,0,5,4,GS Bajwa,ESP
665,S Burdekin (CYP),8,8,0,74,29,9.25,81,91.35,0,0,1,8,3,S Burdekin,CYP
666,JN Dorji (BHU),8,8,0,74,30,9.25,97,76.28,0,0,2,8,0,JN Dorji,BHU
667,I Elec (TKY),10,10,0,74,52,7.4,127,58.26,0,1,3,5,3,I Elec,TKY
668,C Greenshields (POR),3,3,1,74,67*,37,58,127.58,0,1,0,7,3,C Greenshields,POR
669,S Kaveri (Mex),3,3,0,74,44,24.66,90,82.22,0,0,0,4,2,S Kaveri,Mex
