Player,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
Muhammad Amir,3.0,0,16,5,5.33,2,Singapore,Kirtipur,2 Nov 2023
S Bodha,4.0,0,16,5,4,1,Romania,Ilfov County,25 May 2024
Milind Kumar,4.0,0,16,5,4,1,Namibia,Windhoek,5 Oct 2024
Yasar Haroon,4.0,0,16,5,4,1,Panama,Buenos Aires,12 Dec 2024
Zaker Taqawi,4.0,0,17,5,4.25,1,Croatia,Kerava,13 Jul 2022
R Sakurano-Thomas,4.0,0,17,5,4.25,2,Indonesia,Sano,9 Oct 2022
Siraj Ullah Khadem,3.3,1,17,5,4.85,2,Malta,Gibraltar,4 May 2023
Kuldeep Yadav,2.5,0,17,5,6,2,South Africa,Johannesburg,14 Dec 2023
OE Taylor,4.0,1,17,5,4.25,1,Vanuatu,Apia (No 2),21 Aug 2024
CV Varun,4.0,0,17,5,4.25,2,South Africa,Gqeberha,10 Nov 2024
AR Ramjani,4.0,0,17,5,4.25,1,Nigeria,Rwanda,6 Dec 2024
V Saini,3.5,0,17,5,4.43,2,Luxembourg,Szodliget,26 Jul 2025
Waqar Zalmai,2.3,0,17,5,6.8,1,Belgium,Latschach,24 Aug 2025
D Maisuria,4.0,0,18,5,4.5,2,Ghana,Benoni,18 Sep 2022
S Shrivastava,4.0,0,18,5,4.5,2,Bahrain,Al Amerat,19 Nov 2022
K Hinds,4.0,0,18,5,4.5,1,Cayman,Buenos Aires,28 Feb 2023
C Rumistrzewicz,4.0,0,18,5,4.5,2,Finland,Castel,28 Aug 2024
Sikandar Raza,4.0,1,18,5,4.5,2,Rwanda,Nairobi (Ruaraka),22 Oct 2024
S Lamichhane,3.5,0,18,5,4.69,2,Qatar,Al Amerat,13 Oct 2025
Mohammad Nawaz,4.0,0,18,5,4.5,2,Australia,Lahore,1 Feb 2026
Ahmed Raza,4.0,0,19,5,4.75,2,Nepal,Al Amerat,22 Feb 2022
FJ Klaassen,4.0,0,19,5,4.75,2,Uganda,Bulawayo,14 Jul 2022
T Ritawa,4.0,0,19,5,4.75,1,Fiji,Port vila,14 Sep 2022
DL Brangman,4.0,0,19,5,4.75,2,Cayman,Hamilton,3 Oct 2023
Fayaz Khan,4.0,0,19,5,4.75,1,Norway,Krefeld,11 Jul 2024
