Player,Overs,Maidens,Runs,Wickets,Economy,Inns,Opposition,Ground,Start_Date
A Wright,4.0,0,31,1,7.75,1,U.S.A.,George Town,19 Apr 2025
S Gooch,3.0,0,31,1,10.33,1,Malta,Marsa,6 May 2025
S Koppolu,2.3,0,31,1,12.4,2,Austria,Graz,18 May 2025
Shamim Hossain,4.0,0,31,1,7.75,1,Pakistan,Lahore,28 May 2025
Mehboob Ali,3.0,0,31,1,10.33,2,Belgium,Zemst,30 May 2025
Ali Nayyer,4.0,0,31,1,7.75,1,Austria,Latschach,1 Jun 2025
JAM Henri,4.0,0,31,1,7.75,1,Belgium,Zemst,1 Jun 2025
Muhammad Siddiqui,4.0,0,31,1,7.75,1,Serbia,Belgrade,8 Jun 2025
C Wright,4.0,0,31,1,7.75,2,Bahamas,King City (NW),15 Jun 2025
DT Doram,4.0,0,31,1,7.75,2,Scotland,Glasgow,18 Jun 2025
DMW Rawlins,4.0,0,31,1,7.75,1,Cayman,King City (NW),18 Jun 2025
Sahel Zadran,4.0,0,31,1,7.75,1,Hungary,Ilfov County,27 Jun 2025
Imran Khan,2.0,0,31,1,15.5,2,Tanzania,Blantyre,8 Jul 2025
PA van Meekeren,4.0,0,31,1,7.75,2,Guernsey,The Hague,9 Jul 2025
CW Perchard,4.0,0,31,1,7.75,1,Scotland,The Hague,11 Jul 2025
Bilal Ahmad Mir,4.0,0,31,1,7.75,1,Philippines,Bali,12 Jul 2025
K Babu,4.0,0,31,1,7.75,2,Indonesia,Bali,13 Jul 2025
SZ Vayani,4.0,0,31,1,7.75,1,Germany,Blantyre,13 Jul 2025
H Venkataram,2.0,0,31,1,15.5,2,Malaysia,Singapore,19 Jul 2025
NT Ellis,4.0,0,31,1,7.75,1,West Indies,Kingston,20 Jul 2025
Khizar Hayat,4.0,0,31,1,7.75,2,Singapore,Singapore,23 Jul 2025
Zahoor Ahmad,4.0,0,31,1,7.75,2,Qatar,Doha,23 Jul 2025
V Saini,4.0,0,31,1,7.75,1,Austria,Szodliget,27 Jul 2025
Madhawa Basnayaka,4.0,0,31,1,7.75,1,Estonia,Tallinn,27 Jul 2025
AJ Hosein,4.0,0,31,1,7.75,1,Pakistan,Lauderhill,31 Jul 2025
K Fletcher,3.0,0,31,1,10.33,2,Estonia,Tallinn,2 Aug 2025
Shaheen Shah Afridi,4.0,0,31,1,7.75,2,West Indies,Lauderhill,2 Aug 2025
RL Chase,4.0,0,31,1,7.75,1,Pakistan,Lauderhill,3 Aug 2025
Qamar Mushtaque,4.0,0,31,1,7.75,2,Hungary,Oslo,17 Aug 2025
Arslan Basharat,4.0,0,31,1,7.75,2,Serbia,Szodliget,29 Aug 2025
OSB Tilley,4.0,0,31,1,7.75,2,Serbia,Szodliget,31 Aug 2025
Abdollah Ahmadzai,3.0,0,31,1,10.33,2,U.A.E.,Sharjah,5 Sep 2025
F Clarke,3.3,0,31,1,8.85,2,Sweden,Tromode,6 Sep 2025
MA Algi,4.0,0,31,1,7.75,1,Eswatini,Malkerns,12 Sep 2025
M Jele,3.0,0,31,1,10.33,2,Mozambique,Malkerns,12 Sep 2025
Kuldeep Yadav,4.0,0,31,1,7.75,1,Pakistan,Dubai (DICS),21 Sep 2025
Faheem Ashraf,4.0,0,31,1,7.75,2,India,Dubai (DICS),21 Sep 2025
PVD Chameera,4.0,0,31,1,7.75,2,Pakistan,Abu Dhabi,23 Sep 2025
Vraj Patel,3.0,0,31,1,10.33,1,Namibia,Harare,26 Sep 2025
Kuldeep Yadav,4.0,0,31,1,7.75,2,Sri Lanka,Dubai (DICS),26 Sep 2025
CV Varun,4.0,0,31,1,7.75,2,Sri Lanka,Dubai (DICS),26 Sep 2025
D Maisuria,4.0,0,31,1,7.75,1,Zimbabwe,Harare,28 Sep 2025
R Ngarava,4.0,0,31,1,7.75,1,Kenya,Harare,2 Oct 2025
DM Nakrani,4.0,0,31,1,7.75,2,Nigeria,Harare,4 Oct 2025
Junaid Siddique,4.0,0,31,1,7.75,1,Nepal,Al Amerat,12 Oct 2025
DAM Louis,4.0,0,31,1,7.75,1,Japan,Al Amerat,15 Oct 2025
SF Tiai,4.0,0,31,1,7.75,1,U.A.E.,Al Amerat,15 Oct 2025
SF Tiai,4.0,0,31,1,7.75,1,Nepal,Al Amerat,17 Oct 2025
Danyal Raja,4.0,0,31,1,7.75,2,Cyprus,Episkopi,3 Nov 2025
Bilal Sami,4.0,0,31,1,7.75,2,Qatar,Doha,11 Nov 2025
EC D'Souza,3.0,0,31,1,10.33,2,Oman,Doha,16 Nov 2025
Saim Ayub,4.0,0,31,1,7.75,1,Zimbabwe,Rawalpindi,18 Nov 2025
R Ngarava,4.0,0,31,1,7.75,2,Pakistan,Rawalpindi,18 Nov 2025
Naseem Shah,4.0,0,31,1,7.75,2,Zimbabwe,Rawalpindi,23 Nov 2025
PW Hasaranga,4.0,0,31,1,7.75,2,Pakistan,Rawalpindi,29 Nov 2025
LH Rodrigues,4.0,0,31,1,7.75,1,Argentina,Buenos Aires,30 Nov 2025
Mohammad Saifuddin,3.5,0,31,1,8.08,1,Ireland,Chattogram,2 Dec 2025
A Beresford-Peirse,4.0,0,31,1,7.75,1,Spain,Cartagena,6 Dec 2025
S Yeshey,4.0,0,31,1,7.75,1,Bahrain,Gelephu,12 Dec 2025
A Gbla,4.0,0,31,1,7.75,1,Rwanda,Abuja,12 Dec 2025
E Beukes,4.0,0,31,1,7.75,1,Indonesia,Bali,25 Dec 2025
M Theekshana,4.0,0,31,1,7.75,2,Pakistan,Dambulla,7 Jan 2026
Arshdeep Singh,4.0,0,31,1,7.75,2,New Zealand,Nagpur,21 Jan 2026
MR Adair,4.0,0,31,1,7.75,2,Italy,Dubai,25 Jan 2026
RL Chase,4.0,0,31,1,7.75,2,South Africa,Paarl,27 Jan 2026
MR Adair,4.0,0,31,1,7.75,2,U.A.E.,Dubai (DICS),31 Jan 2026
MW Short,3.0,0,31,1,10.33,1,Pakistan,Lahore,1 Feb 2026
L Wood,3.0,0,31,1,10.33,2,Nepal,Wankhede,8 Feb 2026
JN Loftie-Eaton,2.0,0,31,1,15.5,2,Netherlands,Delhi,10 Feb 2026
GH Dockrell,4.0,0,31,1,7.75,1,Australia,Colombo (RPS),11 Feb 2026
Shaheen Shah Afridi,2.0,0,31,1,15.5,1,India,Colombo (RPS),15 Feb 2026
AU Rashid,4.0,0,31,1,7.75,1,Pakistan,Pallekele,24 Feb 2026
Sarawut Maliwan,3.0,0,31,1,10.33,1,Japan,Bangkok,25 Feb 2026
KA Pollard,4.0,0,32,1,8,1,England,Bridgetown,23 Jan 2022
PJ Cummins,4.0,0,32,1,8,2,Sri Lanka,Sydney,11 Feb 2022
C Campher,4.0,0,32,1,8,1,Oman,Al Amerat,12 Feb 2022
JDF Vandersay,4.0,0,32,1,8,2,Australia,Canberra,15 Feb 2022
Saad Bin Zafar,4.0,0,32,1,8,2,Oman,Al Amerat,19 Feb 2022
C Karunaratne,4.0,0,32,1,8,1,Australia,Melbourne,20 Feb 2022
Ravi Bishnoi,4.0,0,32,1,8,1,Sri Lanka,Dharamsala,27 Feb 2022
Wahidullah Sahak,4.0,0,32,1,8,1,Spain,Almeria,30 Apr 2022
S Sengupta,3.0,0,32,1,10.66,2,Gibraltar,Marsa,11 May 2022
Sazib Bhuiyan,4.0,0,32,1,8,1,Malta,Marsa,12 May 2022
J Shaju,4.0,0,32,1,8,2,Czech Rep.,Marsa,12 May 2022
WD Parnell,4.0,0,32,1,8,1,India,Delhi,9 Jun 2022
Amjad Sher,4.0,0,32,1,8,2,Estonia,Kerava,19 Jun 2022
DV Varghese,2.0,0,32,1,16,1,Serbia,Sofia,24 Jun 2022
ML Kostic,4.0,0,32,1,8,2,Bulgaria,Sofia,24 Jun 2022
Janak Prakash,4.0,0,32,1,8,1,Malaysia,Singapore,28 Jun 2022
U Aryaman Sunil,4.0,0,32,1,8,1,Malaysia,Singapore,29 Jun 2022
Namgay Thinley,4.0,0,32,1,8,1,Malaysia,Bangi,3 Jul 2022
OF Smith,3.0,0,32,1,10.66,2,Bangladesh,Roseau,3 Jul 2022
Itibarshah Deedar,4.0,0,32,1,8,2,Czech Rep.,Vinor,10 Jul 2022
R Hekure,4.0,0,32,1,8,2,Hong Kong,Bulawayo,14 Jul 2022
AR Puri,4.0,0,32,1,8,1,Jersey,Bulawayo,14 Jul 2022
S Wickramasekara,4.0,0,32,1,8,1,France,Kerava,24 Jul 2022
MRJ Watt,4.0,0,32,1,8,1,New Zealand,Edinburgh,27 Jul 2022
R Ashwin,4.0,0,32,1,8,2,West Indies,Basseterre,1 Aug 2022
Mustafizur Rahman,4.0,0,32,1,8,2,Sri Lanka,Dubai (DICS),1 Sep 2022
R Ashwin,4.0,0,32,1,8,2,Sri Lanka,Dubai (DICS),6 Sep 2022
AM Kimote,4.0,0,32,1,8,1,Kenya,Benoni,17 Sep 2022
O Harvey,4.0,0,32,1,8,1,Botswana,Benoni,18 Sep 2022
SA Jumbe,3.0,0,32,1,10.66,2,Uganda,Benoni,22 Sep 2022
LA Dawson,4.0,0,32,1,8,1,Pakistan,Karachi,25 Sep 2022
A Nortje,3.0,0,32,1,10.66,2,India,Thiruvananthapuram,28 Sep 2022
Mohammad Wasim,4.0,0,32,1,8,2,England,Lahore,28 Sep 2022
Mohammad Hasnain,4.0,0,32,1,8,1,England,Lahore,2 Oct 2022
SM Sharif,3.0,0,32,1,10.66,2,Ireland,Hobart,19 Oct 2022
Shakib Al Hasan,4.0,0,32,1,8,2,Netherlands,Hobart,24 Oct 2022
PA van Meekeren,4.0,0,32,1,8,1,India,Sydney,27 Oct 2022
L Ngidi,4.0,0,32,1,8,1,Pakistan,Sydney,3 Nov 2022
BA Stokes,4.0,0,32,1,8,1,Pakistan,Melbourne,13 Nov 2022
Hisham Shaikh,4.0,0,32,1,8,1,Canada,Al Amerat,19 Nov 2022
SKA Awiah,4.0,0,32,1,8,2,Tanzania,Rwanda,4 Dec 2022
DB Loic,3.0,0,32,1,10.66,1,Eswatini,Kigali,8 Dec 2022
Imran Khan,4.0,0,32,1,8,1,Malaysia,Bangi,15 Dec 2022
AM Kimote,3.0,0,32,1,10.66,1,Uganda,Rwanda,15 Dec 2022
K Irakoze,4.0,0,32,1,8,1,Uganda,Rwanda,16 Dec 2022
R Ngarava,4.0,0,32,1,8,2,Ireland,Harare,14 Jan 2023
E Walker,4.0,0,32,1,8,2,Spain,Cartagena,25 Feb 2023
Haroon Arshad,4.0,0,32,1,8,2,Bahrain,Mong Kok,8 Mar 2023
Sayed Monib,4.0,0,32,1,8,1,Hong Kong,Mong Kok,9 Mar 2023
P Dakainivanua,4.0,0,32,1,8,1,Vanuatu,Suva,17 Mar 2023
Mohammad Nabi,3.0,0,32,1,10.66,1,Pakistan,Sharjah,27 Mar 2023
Karim Janat,3.0,0,32,1,10.66,1,Pakistan,Sharjah,27 Mar 2023
Najjam Shahzad,4.0,0,32,1,8,1,Gibraltar,Albergaria,11 Apr 2023
Amar Sharma,4.0,0,32,1,8,1,Portugal,Gibraltar,4 May 2023
Najjam Shahzad,3.0,0,32,1,10.66,2,Malta,Gibraltar,5 May 2023
RJ Hatchman,2.0,0,32,1,16,1,Malta,Gibraltar,7 May 2023
B Niaz,4.0,0,32,1,8,2,Germany,Krefeld,10 Jun 2023
B Kgosiemang,3.0,0,32,1,10.66,1,Rwanda,Nairobi (Gym),13 Jun 2023
Ali Nayyer,3.5,0,32,1,8.34,1,Luxembourg,Walferdange,25 Jun 2023
LT Bichard,3.0,0,32,1,10.66,2,Jersey,St Martin,8 Jul 2023
M Koli,4.0,0,32,1,8,1,France,Marsa,13 Jul 2023
Noman Amjad,3.5,0,32,1,8.34,2,Luxembourg,Marsa,15 Jul 2023
R Mangal,3.0,0,32,1,10.66,2,Luxembourg,Marsa,15 Jul 2023
D Wotu,4.0,0,32,1,8,1,P.N.G.,Port Moresby,26 Jul 2023
W Nalisa,4.0,0,32,1,8,1,P.N.G.,Port Moresby,26 Jul 2023
OC McCoy,2.0,0,32,1,16,2,India,Providence,8 Aug 2023
TG Southee,3.4,1,32,1,8.72,2,U.A.E.,Dubai (DICS),19 Aug 2023
Zahoor Khan,4.0,0,32,1,8,1,New Zealand,Dubai (DICS),20 Aug 2023
M Akayezu,3.0,0,32,1,10.66,1,Tanzania,Rwanda,21 Aug 2023
YM Nkanya,3.0,0,32,1,10.66,2,Rwanda,Rwanda,21 Aug 2023
A Nao,3.0,0,32,1,10.66,2,Hong Kong,Kuala Lumpur,21 Sep 2023
D Suzuki,4.0,0,32,1,8,1,Cambodia,Hangzhou,27 Sep 2023
A Dizija,3.1,0,32,1,10.1,2,Gibraltar,Gibraltar,5 Oct 2023
Sufiyan Muqeem,2.0,0,32,1,16,2,Bangladesh,Hangzhou,7 Oct 2023
Ali Naseer,4.0,0,32,1,8,2,Nepal,Mulpani,18 Oct 2023
KP Meiyappan,4.0,0,32,1,8,1,Bahrain,Mulpani,30 Oct 2023
Aqib Ilyas,4.0,0,32,1,8,2,Singapore,Kirtipur,31 Oct 2023
Imran Anwar,3.0,0,32,1,10.66,2,Hong Kong,Mulpani,31 Oct 2023
Pavandeep Singh,4.0,0,32,1,8,2,Nepal,Kirtipur,31 Oct 2023
Rizwan Haider,3.0,0,32,1,10.66,2,Singapore,Kirtipur,2 Nov 2023
YI Patel,4.0,0,32,1,8,1,Bahrain,Mulpani,2 Nov 2023
Z Bimenyimana,3.0,0,32,1,10.66,1,Zimbabwe,Windhoek,27 Nov 2023
LB Williams,3.0,0,32,1,10.66,1,India,Gqeberha,12 Dec 2023
AJ Hosein,4.0,0,32,1,8,1,England,Bridgetown,12 Dec 2023
RJW Topley,4.0,0,32,1,8,1,West Indies,St George's,16 Dec 2023
Luqman Butt,4.0,0,32,1,8,1,Saudi Arabia,Bangkok,1 Feb 2024
S Yeshey,4.0,0,32,1,8,1,Maldives,Bangkok,7 Feb 2024
Karan KC,3.0,0,32,1,10.66,1,Namibia,Kirtipur,27 Feb 2024
Ehsan Khan,3.0,0,32,1,10.66,2,Qatar,Doha,27 Feb 2024
A Dutt,3.0,0,32,1,10.66,2,Namibia,Kirtipur,29 Feb 2024
Muhammad Jabir,4.0,0,32,1,8,1,Hong Kong,Doha,29 Feb 2024
A Bohara,4.0,0,32,1,8,2,Namibia,Kirtipur,1 Mar 2024
Rishad Hossain,4.0,0,32,1,8,1,Sri Lanka,Sylhet,4 Mar 2024
M Theekshana,4.0,0,32,1,8,2,Bangladesh,Sylhet,4 Mar 2024
Karan KC,4.0,0,32,1,8,1,P.N.G.,Mong Kok,13 Mar 2024
B White,4.0,0,32,1,8,1,Afghanistan,Sharjah,17 Mar 2024
Waseem Yaqoob,3.0,0,32,1,10.66,1,Eswatini,Malkerns,30 Mar 2024
Yasim Murtaza,4.0,0,32,1,8,1,Malaysia,Al Amerat,17 Apr 2024
Mohammad Amir,4.0,0,32,1,8,1,New Zealand,Lahore,25 Apr 2024
R Ngarava,4.0,0,32,1,8,2,Bangladesh,Chattogram,5 May 2024
O Lutbayar,3.0,0,32,1,10.66,1,Japan,Sano,7 May 2024
Zaki Ul Hassan,3.0,0,32,1,10.66,1,France,Dreux,12 May 2024
GI Hume,3.0,0,32,1,10.66,2,Pakistan,Dublin,12 May 2024
Mohammad Amir,4.0,0,32,1,8,1,Ireland,Dublin,14 May 2024
A Reyes,4.0,0,32,1,8,1,Romania,Ilfov County,25 May 2024
Tanzim Hasan Sakib,4.0,1,32,1,8,1,U.S.A.,Prairie View,25 May 2024
Rishad Hossain,4.0,0,32,1,8,1,South Africa,New York,10 Jun 2024
Milad Momend,4.0,0,32,1,8,1,France,Rome,13 Jun 2024
HH Pandya,3.0,0,32,1,10.66,2,Bangladesh,North Sound,22 Jun 2024
A Martel,3.0,0,32,1,10.66,1,Jersey,Port Soif,23 Jun 2024
Muslim Yar,4.0,0,32,1,8,2,Sweden,Krefeld,9 Jul 2024
Fahim Bhatti,3.0,0,32,1,10.66,1,Jersey,Krefeld,10 Jul 2024
Wahidullah Sahak,2.0,0,32,1,16,2,Germany,Krefeld,11 Jul 2024
AA Gajic,3.0,0,32,1,10.66,1,Belgium,Krefeld,12 Jul 2024
Washington Sundar,4.0,0,32,1,8,1,Zimbabwe,Harare,13 Jul 2024
Vraj Patel,4.0,0,32,1,8,1,Nigeria,Nairobi,17 Jul 2024
AZ Shah,3.0,0,32,1,10.66,2,Samoa,Apia (No 2),17 Aug 2024
OEG Baartman,4.0,0,32,1,8,1,West Indies,Tarouba,25 Aug 2024
Taranjit Singh,4.0,0,32,1,8,1,Denmark,Castel,27 Aug 2024
OEG Baartman,2.0,0,32,1,16,2,West Indies,Tarouba,27 Aug 2024
SA Ahmad,4.0,0,32,1,8,2,Guernsey,Castel,28 Aug 2024
Shunan Ali,3.0,0,32,1,10.66,1,Kuwait,Bangi,2 Sep 2024
BN Toube,2.0,0,32,1,16,2,Tanzania,Dar-es-Salaam,24 Sep 2024
R Dhakal,4.0,0,32,1,8,2,Oman,King City (NW),29 Sep 2024
Junaid Siddique,4.0,0,32,1,8,1,U.S.A.,Windhoek,30 Sep 2024
MG Erasmus,4.0,0,32,1,8,1,U.S.A.,Windhoek,1 Oct 2024
Junaid Siddique,4.0,0,32,1,8,2,U.S.A.,Windhoek,4 Oct 2024
D Jakiel,3.0,0,32,1,10.66,1,Rwanda,Blantyre,12 Oct 2024
S Gill,4.0,0,32,1,8,1,Zimbabwe,Nairobi (Gym),24 Oct 2024
AU Rashid,4.0,1,32,1,8,1,West Indies,Bridgetown,10 Nov 2024
A Dutt,4.0,0,32,1,8,2,Oman,Al Amerat,13 Nov 2024
Lakshit Gupta,3.0,0,32,1,10.66,1,Thailand,Doha,20 Nov 2024
Ishtiaq Ahmad,3.0,0,32,1,10.66,1,Thailand,Doha,26 Nov 2024
N Salekar,4.0,0,32,1,8,2,Saudi Arabia,Doha,26 Nov 2024
Ikramullah Khan,4.0,0,32,1,8,1,Saudi Arabia,Doha,28 Nov 2024
Sandeep Goud,3.0,0,32,1,10.66,2,Belize,Buenos Aires,10 Dec 2024
RDB Ahir,4.0,0,32,1,8,2,Brazil,Buenos Aires,12 Dec 2024
Mehran Khan,4.0,0,32,1,8,1,U.A.E.,ICCA Dubai,15 Dec 2024
DG Weakley,3.0,0,32,1,10.66,1,Bermuda,Buenos Aires,15 Dec 2024
Rishad Hossain,4.0,0,32,1,8,2,West Indies,Kingstown,15 Dec 2024
D Johnson,4.0,0,32,1,8,1,Bermuda,Buenos Aires,16 Dec 2024
OC McCoy,3.0,0,32,1,10.66,1,Bangladesh,Kingstown,17 Dec 2024
Usman Khalid,4.0,0,32,1,8,1,Oman,ICCA Dubai,18 Dec 2024
Usman Khalid,4.0,0,32,1,8,2,U.A.E.,ICCA Dubai,19 Dec 2024
IS Sodhi,4.0,0,32,1,8,1,Pakistan,Wellington,26 Mar 2025
R Hashu,3.0,0,32,1,10.66,1,Norway,Albergaria,8 Apr 2025
C Wright,4.0,0,32,1,8,1,Bermuda,George Town,20 Apr 2025
D Parashar,4.0,0,32,1,8,1,Bangladesh,Sharjah,17 May 2025
Rishad Hossain,4.0,0,32,1,8,2,U.A.E.,Sharjah,21 May 2025
F Stoman,4.0,0,32,1,8,1,Belgium,Zemst,1 Jun 2025
JG Bethell,3.0,0,32,1,10.66,2,West Indies,Southampton,10 Jun 2025
IKEG Artawan,4.0,0,32,1,8,2,Cambodia,Bali,11 Jun 2025
DJ Hawoe,4.0,0,32,1,8,2,Cambodia,Bali,15 Jun 2025
K Klein,3.0,0,32,1,10.66,2,Nepal,Glasgow,16 Jun 2025
Rupesh Singh,3.0,0,32,1,10.66,1,Scotland,Glasgow,20 Jun 2025
Izaz Ali,3.0,0,32,1,10.66,1,Hungary,Szodliget,21 Jun 2025
Zaki Ul Hassan,4.0,0,32,1,8,2,France,Ilfov County,27 Jun 2025
M Koli,4.0,0,32,1,8,1,Hungary,Ilfov County,27 Jun 2025
V Saini,4.0,0,32,1,8,1,Malta,Ilfov County,28 Jun 2025
N Thushara,4.0,0,32,1,8,1,Bangladesh,Pallekele,10 Jul 2025
BF Mailata,4.0,0,32,1,8,1,Hong Kong,Singapore,19 Jul 2025
Saqlain Arshad,3.0,0,32,1,10.66,2,Saudi Arabia,Doha,22 Jul 2025
SZ Vayani,3.0,0,32,1,10.66,1,Bahrain,Rwanda,23 Jul 2025
Kamal Soukhiya,4.0,0,32,1,8,1,Hungary,Szodliget,25 Jul 2025
A Paul,3.0,0,32,1,10.66,1,Switzerland,Tallinn,3 Aug 2025
K Fletcher,4.0,0,32,1,8,2,Estonia,Tallinn,3 Aug 2025
H Beresford-Peirse,2.0,0,32,1,16,2,Cyprus,Zagreb,7 Aug 2025
Amal Jacob,4.0,0,32,1,8,1,Norway,Oslo,17 Aug 2025
AJ Parmar,4.0,0,32,1,8,2,Hungary,Oslo,17 Aug 2025
C Liebenberg,4.0,0,32,1,8,2,Sweden,Tromode,6 Sep 2025
Ateeq Iqbal,3.0,1,32,1,10.66,1,Afghanistan,Abu Dhabi,9 Sep 2025
A Shukla,3.0,0,32,1,10.66,2,Bangladesh,Abu Dhabi,11 Sep 2025
PVD Chameera,4.0,0,32,1,8,2,Bangladesh,Dubai (DICS),20 Sep 2025
MW Short,3.0,0,32,1,10.66,1,New Zealand,Mount Maunganui,1 Oct 2025
Zahid Ali,4.0,0,32,1,8,1,Nepal,Al Amerat,12 Oct 2025
J Khadka,4.0,0,32,1,8,2,Austria,Ilfov County,18 Oct 2025
Adam Senn,4.0,0,32,1,8,2,Serbia,Episkopi,31 Oct 2025
Fareed Ahmad,4.0,0,32,1,8,1,Zimbabwe,Harare,31 Oct 2025
MW Forde,4.0,0,32,1,8,2,New Zealand,Auckland,5 Nov 2025
Nazmul Huda,3.0,0,32,1,10.66,1,Myanmar,Bali,14 Nov 2025
A Awasthi,2.0,0,32,1,16,1,Spain,Cartagena,6 Dec 2025
Jaikumar Thakur,4.0,0,32,1,8,2,Spain,Cartagena,7 Dec 2025
Javid Patel,4.0,0,32,1,8,1,Sierra Leone,Abuja,9 Dec 2025
PSRK Sudarshan,4.0,0,32,1,8,1,Philippines,Bangkok,10 Dec 2025
Muhammad Nadir,4.0,0,32,1,8,2,Sierra Leone,Abuja,12 Dec 2025
F Banunaek,4.0,0,32,1,8,2,Cambodia,Bali,23 Dec 2025
Saim Ayub,3.0,0,32,1,10.66,2,Australia,Lahore,31 Jan 2026
LA Dawson,4.0,0,32,1,8,1,Sri Lanka,Pallekele,1 Feb 2026
Fazalhaq Farooqi,4.0,0,32,1,8,1,South Africa,Ahmedabad,11 Feb 2026
AJ Hosein,4.0,0,32,1,8,2,England,Wankhede,11 Feb 2026
FJ Klaassen,3.0,0,32,1,10.66,1,U.S.A.,Chennai,13 Feb 2026
Shah Faisal,2.0,0,32,1,16,1,Ireland,Colombo (SSC),14 Feb 2026
S Dube,2.0,0,32,1,16,1,South Africa,Ahmedabad,22 Feb 2026
LA Dawson,4.0,0,32,1,8,1,New Zealand,Colombo (RPS),27 Feb 2026
B Muzarabani,3.5,0,32,1,8.34,2,South Africa,Delhi,1 Mar 2026
Khawar Ali,4.0,0,33,1,8.25,2,Ireland,Al Amerat,12 Feb 2022
PVD Chameera,4.0,0,33,1,8.25,2,Australia,Melbourne,18 Feb 2022
Simi Singh,4.0,0,33,1,8.25,1,U.A.E.,Al Amerat,18 Feb 2022
M Podosky,4.0,0,33,1,8.25,1,Nepal,Al Amerat,19 Feb 2022
Bilal Khan,4.0,0,33,1,8.25,1,Canada,Al Amerat,19 Feb 2022
Imran Anwar,3.0,0,33,1,11,1,Ireland,Al Amerat,19 Feb 2022
Junaid Aziz,2.0,0,33,1,16.5,2,Canada,Al Amerat,24 Feb 2022
R Hekure,4.0,0,33,1,8.25,1,Malaysia,Kirtipur,1 Apr 2022
F Nsubuga,3.0,0,33,1,11,1,Namibia,Windhoek,10 Apr 2022
Amar Sharma,4.0,0,33,1,8.25,1,Romania,Marsa,11 May 2022
HV Mandhyan,4.0,0,33,1,8.25,2,Bulgaria,Marsa,11 May 2022
DV Varghese,4.0,0,33,1,8.25,1,Gibraltar,Marsa,15 May 2022
D Wiese,4.0,0,33,1,8.25,1,Zimbabwe,Bulawayo,22 May 2022
A Nathwani,4.0,0,33,1,8.25,2,Hungary,Lower Austria,5 Jun 2022
PW Hasaranga,4.0,0,33,1,8.25,1,Australia,Pallekele,11 Jun 2022
Ahmad Khalid Ahmadzai,4.0,0,33,1,8.25,1,Gibraltar,Gent,28 Jun 2022
JA Fitzgerald,4.0,0,33,1,8.25,1,Hungary,Waterloo,1 Jul 2022
N Vanua,4.0,0,33,1,8.25,1,Singapore,Singapore,3 Jul 2022
Sahel Zadran,4.0,0,33,1,8.25,1,Czech Rep.,Vinor,9 Jul 2022
D Ravu,4.0,0,33,1,8.25,1,Netherlands,Bulawayo,11 Jul 2022
M Koli,4.0,0,33,1,8.25,1,Cyprus,Vantaa,13 Jul 2022
M Ozturk,4.0,0,33,1,8.25,1,Cyprus,Vantaa,16 Jul 2022
Amjad Sher,4.0,0,33,1,8.25,2,Cyprus,Kerava,19 Jul 2022
Arshdeep Singh,4.0,0,33,1,8.25,1,West Indies,Basseterre,2 Aug 2022
DC Drakes,4.0,0,33,1,8.25,2,India,Basseterre,2 Aug 2022
HR Walsh,4.0,0,33,1,8.25,1,India,Lauderhill,7 Aug 2022
JB Little,4.0,0,33,1,8.25,1,Afghanistan,Belfast,9 Aug 2022
LH Ferguson,4.0,0,33,1,8.25,2,West Indies,Kingston,10 Aug 2022
Shahid Mahmood,4.0,0,33,1,8.25,1,Kuwait,Al Amerat,11 Aug 2022
P Cabebula,4.0,0,33,1,8.25,1,Samoa,Port vila,11 Sep 2022
FA Cossa,4.0,0,33,1,8.25,1,Uganda,Benoni,18 Sep 2022
Riazat Ali Shah,4.0,0,33,1,8.25,1,Ghana,Benoni,20 Sep 2022
HA Chohan,4.0,0,33,1,8.25,1,Botswana,Benoni,21 Sep 2022
Mohammad Nawaz,4.0,0,33,1,8.25,1,New Zealand,Christchurch,14 Oct 2022
TG Southee,4.0,0,33,1,8.25,2,Pakistan,Christchurch,14 Oct 2022
BM Tickner,3.3,0,33,1,9.42,2,Pakistan,Christchurch,14 Oct 2022
B Fernando,4.0,0,33,1,8.25,2,Netherlands,Geelong,20 Oct 2022
BJ McCarthy,4.0,0,33,1,8.25,1,West Indies,Hobart,21 Oct 2022
FJ Klaassen,4.0,0,33,1,8.25,1,Bangladesh,Hobart,24 Oct 2022
FJ Klaassen,4.0,0,33,1,8.25,1,India,Sydney,27 Oct 2022
PA van Meekeren,3.0,0,33,1,11,2,South Africa,Adelaide,6 Nov 2022
LM Gabriel,4.0,0,33,1,8.25,1,Malawi,Kigali,25 Nov 2022
R Bakum,4.0,0,33,1,8.25,2,Eswatini,Kigali,1 Dec 2022
D Polpitiya,4.0,0,33,1,8.25,1,Nigeria,Kigali,4 Dec 2022
G Sesay,4.0,0,33,1,8.25,1,Ghana,Kigali,5 Dec 2022
VN Veetil,4.0,0,33,1,8.25,1,Singapore,Bangi,15 Dec 2022
K Irakoze,4.0,0,33,1,8.25,2,Uganda,Rwanda,20 Dec 2022
WP Masakadza,4.0,0,33,1,8.25,1,Ireland,Harare,15 Jan 2023
M Tuilaepa,3.0,0,33,1,11,1,Fiji,Suva,14 Mar 2023
Yash Singh,4.0,0,33,1,8.25,2,Portugal,Gibraltar,6 May 2023
Luqman Butt,3.1,0,33,1,10.42,2,Malaysia,Phnom Penh,11 May 2023
Vinay Ravi,4.0,0,33,1,8.25,1,Sweden,Glostrup,19 May 2023
Shahid Afridi,3.0,0,33,1,11,1,Belgium,Krefeld,10 Jun 2023
