Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
Imran Anwar,66,0,30,8,4,220.0,1,Saudi Arabia,Al Amerat,2022-11-16
O Tuyisenge,66,0,41,8,3,160.97,2,Uganda,Rwanda,2022-12-14
DJ Mitchell,66,0,44,5,3,150.0,2,Sri Lanka,Auckland,2023-04-02
SA Ahmad,66,0,45,3,3,146.66,1,Finland,Brondby,2023-05-18
TC Barker,66,0,40,7,4,165.0,1,Romania,Marsa,2023-07-16
R Satheesan,66,0,55,8,3,120.0,1,Malta,Ilfov County,2023-08-20
MW Short,66,0,30,7,4,220.0,2,South Africa,Durban,2023-09-01
DMW Rawlins,66,0,38,5,5,173.68,1,Canada,Sandys Parish,2023-09-30
Babar Hayat,66,0,45,3,5,146.66,1,U.A.E.,Mulpani,2023-10-22
Babar Azam,66,0,43,7,2,153.48,2,New Zealand,Hamilton,2024-01-14
Muhammad Tanveer,66,0,48,6,3,137.5,2,Hong Kong,Doha,2024-02-27
S Ssesazi,66,0,44,4,5,150.0,1,Kenya,Accra,2024-03-23
Naseem Khushi,66,0,40,3,6,165.0,2,Namibia,Al Amerat,2024-04-04
Asif Khan,66,0,27,1,8,244.44,1,Bahrain,Al Amerat,2024-04-13
Asif Khan,66,0,45,6,2,146.66,1,Oman,Al Amerat,2024-04-15
L Canessane,66,0,44,7,3,150.0,1,Malta,Dreux,2024-05-09
Bilal Masud,66,0,44,4,4,150.0,1,Cyprus,Episkopi,2024-06-19
Shubman Gill,66,0,49,7,3,134.69,1,Zimbabwe,Harare,2024-07-10
MP O'Dowd,66,0,55,7,1,120.0,1,Oman,Al Amerat,2024-11-16
Faisal Khan,66,0,32,3,7,206.25,2,Malaysia,Kuala Lumpur,2025-04-30
Parvez Hossain Emon,66,0,34,7,4,194.11,1,Pakistan,Lahore,2025-06-01
J Baker,66,0,45,5,6,146.66,1,Bahamas,King City (NW),2025-06-15
H Lakov,66,0,41,7,2,160.97,2,Turkey,Sofia,2025-07-10
Amar Naeem,66,0,44,5,4,150.0,2,Hungary,Szodliget,2025-07-26
Abbas Ghani,66,0,46,5,2,143.47,1,Luxembourg,Szodliget,2025-07-27
V Ravindran,66,0,46,7,1,143.47,1,Luxembourg,Szodliget,2025-07-27
Saim Ayub,66,0,49,4,2,134.69,1,West Indies,Lauderhill,2025-08-03
Avishka Iroshan,66,0,50,8,1,132.0,1,Czech Rep.,Ilfov County,2025-08-22
Mohammad Haris,66,0,43,7,3,153.48,1,Oman,Dubai (DICS),2025-09-12
K Bhurtel,66,0,56,3,3,117.85,1,Kuwait,Al Amerat,2025-10-08
Jatinder Singh,66,0,40,7,3,165.0,1,Qatar,Al Amerat,2025-10-12
Darwish Rasooli,66,0,37,6,4,178.37,1,Qatar,Doha,2025-11-11
S Dube,66,0,31,4,6,212.9,1,Netherlands,Ahmedabad,2026-02-18
Yasir Ali,65,1,61,4,3,106.55,2,Malta,Waterloo,2022-06-28
S Ivetic,65,1,57,5,3,114.03,2,Bulgaria,Belgrade,2022-07-08
Sikandar Raza,65,1,26,7,4,250.0,1,Bangladesh,Harare,2022-07-30
Shan Masood,65,1,40,3,4,162.5,2,England,Karachi,2022-09-23
JC Buttler,65,1,41,7,1,158.53,1,Australia,Canberra,2022-10-14
MS Chapman,65,1,40,4,4,162.5,2,Pakistan,Lahore,2023-04-15
Jaspal Singh,65,1,51,6,3,127.45,1,Portugal,Gibraltar,2023-05-06
GA Priandana,65,1,51,7,4,127.45,2,Philippines,Bali,2023-12-23
PHKD Mendis,65,1,39,7,2,166.66,2,Afghanistan,Dambulla,2024-02-21
S Bau,65,1,57,7,2,114.03,2,Oman,Al Amerat,2024-03-07
Virandeep Singh,65,1,46,7,1,141.3,1,P.N.G.,Kuala Lumpur,2024-03-17
Aqeel Wahid,65,1,46,7,2,141.3,1,Saudi Arabia,Al Amerat,2024-04-13
Anshuman Rath,65,1,50,4,2,130.0,2,Nepal,Al Amerat,2024-04-20
A Kadowaki Fleming,65,1,38,5,1,171.05,1,Mongolia,Sano,2024-05-11
D Myers,65,1,49,7,1,132.65,2,India,Harare,2024-07-10
N Pooran,65,1,26,2,7,250.0,2,South Africa,Tarouba,2024-08-23
IO Okpe,65,1,23,3,6,282.6,1,Ivory Coast,Abuja,2024-11-24
SG Mangela,65,1,34,6,3,191.17,1,Botswana,Rwanda,2024-12-09
Zeeshan Kukikhel,65,1,47,3,4,138.29,1,Austria,Marsa,2025-02-04
SP Gomes,65,1,43,6,2,151.16,2,Malta,Zemst,2025-05-31
Razmal Shigiwal,65,1,22,4,7,295.45,1,Czech Rep.,Vinor,2025-06-09
V Ravindran,65,1,39,7,3,166.66,2,Slovenia,Szodliget,2025-06-22
Jamshid Nasiri,65,1,41,5,4,158.53,1,Austria,Stockholm,2025-08-09
Zubair Ali,65,1,44,2,5,147.72,2,Malaysia,Al Amerat,2025-10-09
R Mazumder,65,1,60,7,0,108.33,2,Bulgaria,Episkopi,2025-11-03
Virandeep Singh,65,1,40,7,3,162.5,2,Singapore,Bangkok,2025-12-13
SA Yadav,65,0,31,1,7,209.67,1,West Indies,Eden Gardens,2022-02-20
Dylan Steyn,65,0,41,4,4,158.53,1,Hungary,Marsa,2022-05-15
AM Tribe,65,0,32,11,2,203.12,1,Guernsey,Castel,2022-05-21
Faheem Nazir,65,0,45,8,1,144.44,1,Luxembourg,Walferdange,2022-06-11
Razmal Shigiwal,65,0,45,5,2,144.44,2,Luxembourg,Vinor,2022-07-08
F Damiao Couana,65,0,52,7,1,125.0,2,Ghana,Kigali,2022-12-02
Zubaidi Zulkifle,65,0,38,5,4,171.05,2,Bahrain,Bangi,2022-12-19
AR Patel,65,0,31,3,6,209.67,2,Sri Lanka,Pune,2023-01-05
GR Adair,65,0,47,2,4,138.29,2,Zimbabwe,Harare,2023-01-14
Sohail Ahmed,65,0,46,4,3,141.3,2,Malaysia,Mong Kok,2023-03-09
S Wickramasekara,65,0,39,5,3,166.66,2,Hungary,Vinor,2023-06-11
K Kadowaki-Fleming,65,0,54,2,4,120.37,1,Vanuatu,Port Moresby,2023-07-23
Syed Aziz,65,0,34,4,6,191.17,1,Hong Kong,Kuala Lumpur,2023-09-19
Kushal Malla,65,0,34,2,7,191.17,2,Malaysia,Kirtipur,2023-10-31
Sikandar Raza,65,0,37,4,7,175.67,2,Nigeria,Windhoek,2023-11-29
Sikandar Raza,65,0,42,5,2,154.76,2,Ireland,Harare,2023-12-07
Muhammad Waseem,65,0,40,4,4,162.5,1,Bahrain,Al Amerat,2024-04-13
AGS Gous,65,0,46,7,3,141.3,2,Canada,Dallas,2024-06-01
HJ Manenti,65,0,51,12,0,127.45,2,France,Rome,2024-06-10
Q de Kock,65,0,38,4,4,171.05,1,England,Gros Islet,2024-06-21
KJ Stagno,65,0,26,2,8,250.0,2,Norway,Krefeld,2024-07-13
Muhammad Waseem,65,0,36,2,5,180.55,1,Qatar,ICCA Dubai,2024-12-18
Virandeep Singh,65,0,51,6,1,127.45,1,Bahrain,Kuala Lumpur,2025-03-10
JN Loftie-Eaton,65,0,32,7,4,203.12,2,Canada,Windhoek,2025-03-23
Saber Zakhil,65,0,32,2,8,203.12,1,Portugal,Zemst,2025-05-30
K Bhurtel,65,0,51,6,0,127.45,2,Netherlands,Glasgow,2025-06-19
IDM Latin,65,0,41,10,2,158.53,2,Turkey,Sofia,2025-07-11
Muhammad Fahad,65,0,36,8,4,180.55,1,Gibraltar,Sofia,2025-07-12
Karanbir Singh,65,0,39,8,4,166.66,2,Hungary,Szodliget,2025-07-26
Bilal Zalmai,65,0,38,4,6,171.05,2,Sweden,Stockholm,2025-08-08
Ibrahim Zadran,65,0,45,8,1,144.44,1,Pakistan,Sharjah,2025-09-02
BJ Bennett,65,0,33,7,4,196.96,1,Botswana,Harare,2025-09-28
RR Patel,65,0,47,8,1,138.29,1,Zimbabwe,Harare,2025-10-02
Asif Ali,65,0,26,9,4,250.0,1,Indonesia,Bali,2025-11-19
P Kurup,65,0,40,9,1,162.5,2,Malaysia,Kuala Lumpur,2025-12-01
DC Smith,65,0,23,3,8,282.6,1,Indonesia,Bangkok,2025-12-11
Q de Kock,65,0,35,9,3,185.71,2,India,Ahmedabad,2025-12-19
S Dube,65,0,23,3,7,282.6,2,New Zealand,Visakhapatnam,2026-01-28
TL Seifert,65,0,42,7,3,154.76,2,Afghanistan,Chennai,2026-02-08
MT Renshaw,65,0,44,5,1,147.72,2,Zimbabwe,Colombo (RPS),2026-02-13
DA Miller,64,1,31,4,5,206.45,2,India,Delhi,2022-06-09
HT Tector,64,1,33,6,3,193.93,1,India,Dublin (Malahide),2022-06-26
Raza Iqbal,64,1,37,9,1,172.97,2,Estonia,Kerava,2022-07-24
Ibrahim Zadran,64,1,59,4,2,108.47,2,India,Dubai (DICS),2022-09-08
V Kohli,64,1,44,8,1,145.45,1,Bangladesh,Adelaide,2022-11-02
Imad Wasim,64,1,57,3,2,112.28,1,Afghanistan,Sharjah,2023-03-26
Aasif Sheikh,64,1,51,7,1,125.49,2,U.A.E.,Mulpani,2023-11-03
MG Erasmus,64,1,29,2,6,220.68,1,Oman,Al Amerat,2024-04-07
DS Airee,64,1,21,3,7,304.76,1,Qatar,Al Amerat,2024-04-13
Shakib Al Hasan,64,1,46,9,0,139.13,1,Netherlands,Kingstown,2024-06-13
Khizer Ahmed,64,1,50,4,4,128.0,2,Denmark,Koge,2025-06-14
MD Shanaka,64,1,37,3,6,172.97,1,Bangladesh,Dubai (DICS),2025-09-20
Saif Hassan,64,1,38,2,7,168.42,2,Afghanistan,Sharjah,2025-10-05
Ali Rahmon,64,1,36,7,2,177.77,2,Sierra Leone,Abuja,2025-12-07
BJ Bennett,64,1,56,7,0,114.28,1,Australia,Colombo (RPS),2026-02-13
Sohail Ahmed,64,1,46,3,4,139.13,2,Qatar,Doha,2026-02-15
MR Marsh,64,1,33,7,4,193.93,2,Oman,Pallekele,2026-02-20
Syed Aziz,64,0,35,8,3,182.85,1,P.N.G.,Kirtipur,2022-04-01
Saim Hussain,64,0,31,7,2,206.45,2,Gibraltar,Marsa,2022-05-13
Dylan Steyn,64,0,44,5,1,145.45,1,Luxembourg,Vinor,2022-07-10
RG Sharma,64,0,44,7,2,145.45,1,West Indies,Tarouba,2022-07-29
SS Iyer,64,0,40,8,2,160.0,1,West Indies,Lauderhill,2022-08-07
DP Conway,64,0,40,5,3,160.0,1,Bangladesh,Christchurch,2022-10-12
SC Williams,64,0,42,8,0,152.38,2,Bangladesh,Brisbane,2022-10-30
Aman Desai,64,0,33,2,6,193.93,1,Bahrain,Bangi,2022-12-21
TWM Latham,64,0,49,7,2,130.61,1,Pakistan,Lahore,2023-04-17
Raza Iqbal,64,0,42,8,2,152.38,1,Sweden,Glostrup,2023-05-18
TH David,64,0,28,7,4,228.57,1,South Africa,Durban,2023-08-30
Naseem Khushi,64,0,45,5,3,142.22,1,Saudi Arabia,Doha,2023-09-20
RA Sealy,64,0,38,5,5,168.42,2,Bermuda,Hamilton,2023-10-03
SKS Gill,64,0,45,2,3,142.22,2,Gibraltar,Gibraltar,2023-10-15
Usman Patel,64,0,34,6,5,188.23,2,Bahrain,Mulpani,2023-11-02
V Aravind,64,0,51,8,2,125.49,1,Nepal,Mulpani,2023-11-03
T Jamtsho,64,0,42,8,3,152.38,2,Maldives,Bangkok,2024-02-16
Adil Butt,64,0,46,8,1,139.13,1,Lesotho,Malkerns,2024-03-30
NR Kumar,64,0,38,4,4,168.42,2,Canada,Prairie View,2024-04-13
S Ravichandran,64,0,41,6,2,156.09,1,Mongolia,Sano,2024-05-11
V Saini,64,0,45,3,3,142.22,2,Austria,Rome,2024-06-09
Fayaz Khan,64,0,35,4,6,182.85,2,Norway,Krefeld,2024-07-11
A Mansale,64,0,40,6,3,160.0,1,Cook Islands,Apia (No 2),2024-08-17
Sami Sohail,64,0,46,3,2,139.13,1,Lesotho,Dar-es-Salaam,2024-09-21
Arslan Amjad,64,0,34,3,6,188.23,2,Malta,Marsa,2025-05-06
Ali Raza,64,0,24,7,5,266.66,1,Portugal,Zemst,2025-06-01
V Saini,64,0,46,9,0,139.13,1,Luxembourg,Szodliget,2025-07-26
M Gunasekara,64,0,40,4,6,160.0,2,Croatia,Zagreb,2025-08-07
Sediqullah Atal,64,0,45,3,3,142.22,1,Pakistan,Sharjah,2025-09-02
Aamir Kaleem,64,0,46,7,2,139.13,2,India,Abu Dhabi,2025-09-19
Esam Rahman,64,0,39,9,2,164.1,2,Kuwait,Al Amerat,2025-10-09
Bilal Zalmai,64,0,39,7,4,164.1,1,Romania,Ilfov County,2025-10-19
M Gunasekara,64,0,48,4,5,133.33,1,Serbia,Episkopi,2025-10-31
MP Stoinis,64,0,39,8,2,164.1,1,India,Hobart,2025-11-02
I Danladi,64,0,35,9,1,182.85,1,Sierra Leone,Abuja,2025-12-11
SO Hetmyer,64,0,36,2,6,177.77,1,Scotland,Eden Gardens,2026-02-07
NS Dhaliwal,64,0,49,7,1,130.61,2,South Africa,Ahmedabad,2026-02-09
AV Lazarus,64,0,53,8,2,120.75,1,Bhutan,Bangkok,2026-02-26
DP Michael,63,1,44,1,5,143.18,1,Fiji,Port vila,2022-09-11
Naeem Gull,63,1,49,8,2,128.57,1,Mozambique,Kigali,2022-12-02
JK Vifah,63,1,53,2,4,118.86,1,Sierra Leone,Kigali,2022-12-05
ND Laegsgaard,63,1,36,5,4,175.0,2,Norway,Brondby,2023-05-18
FA Cossa,63,1,42,7,1,150.0,2,Eswatini,Benoni,2023-05-30
Usman Khan,63,1,49,5,2,128.57,1,Romania,Marsa,2023-07-13
S Ivetic,63,1,51,4,3,123.52,1,Gibraltar,Gibraltar,2023-10-05
IA Karim,63,1,43,5,1,146.51,1,Rwanda,Windhoek,2023-11-22
Aryan Lakra,63,1,47,3,4,134.04,1,Afghanistan,Sharjah,2023-12-31
S Dube,63,1,32,5,4,196.87,2,Afghanistan,Indore,2024-01-14
MWR Stokes,63,1,51,5,2,123.52,2,Belgium,Waterloo,2024-06-08
Towhid Hridoy,63,1,42,5,3,150.0,2,India,Hyderabad,2024-10-12
M Simpson-Parker,63,1,26,6,3,242.3,2,Malta,Marsa,2025-02-05
Asif Ali,63,1,37,6,3,170.27,2,Malawi,Rwanda,2025-07-20
Salman Agha,63,1,44,4,3,143.18,2,Sri Lanka,Rawalpindi,2025-11-27
T Banton,63,1,41,4,3,153.65,2,Scotland,Eden Gardens,2026-02-14
BJ Bennett,63,1,48,8,0,131.25,2,Sri Lanka,Colombo (RPS),2026-02-19
MM Ali,63,0,28,1,7,225.0,1,West Indies,Bridgetown,2022-01-29
Ahmed Faiz,63,0,43,5,3,146.51,1,P.N.G.,Kirtipur,2022-04-01
Taranjeet Singh,63,0,44,6,4,143.18,1,Malta,Marsa,2022-05-11
S Wickramasekara,63,0,41,4,4,153.65,2,Hungary,Marsa,2022-05-14
TS Bharaj,63,0,33,2,4,190.9,1,Hungary,Gent,2022-06-28
V Kohli,63,0,48,3,4,131.25,2,Australia,Hyderabad,2022-09-25
Mohammad Rizwan,63,0,46,2,3,136.95,1,England,Lahore,2022-09-28
Q de Kock,63,0,38,7,3,165.78,1,Bangladesh,Sydney,2022-10-27
AJ Finch,63,0,44,5,3,143.18,1,Ireland,Brisbane,2022-10-31
HH Pandya,63,0,33,4,5,190.9,1,England,Adelaide,2022-11-10
RN Patel,63,0,34,8,1,185.29,1,Lesotho,Kigali,2022-11-21
JK Vifah,63,0,55,5,0,114.54,1,Eswatini,Kigali,2022-12-01
Faheem Nazir,63,0,44,6,4,143.18,2,Malta,Marsa,2023-07-15
MS Chapman,63,0,46,3,3,136.95,1,U.A.E.,Dubai (DICS),2023-08-19
AP Rajeevan,63,0,49,7,2,128.57,1,Rwanda,Rwanda,2023-08-31
Aqib Ilyas,63,0,35,4,4,180.0,1,Singapore,Kirtipur,2023-10-31
KH Prajapati,63,0,52,3,4,121.15,2,Nepal,Kirtipur,2023-11-05
GA Priandana,63,0,32,4,6,196.87,2,Cambodia,Bali,2023-11-20
R Powell,63,0,36,5,4,175.0,2,Australia,Adelaide,2024-02-11
DP Conway,63,0,46,5,2,136.95,1,Australia,Wellington,2024-02-21
DS Airee,63,0,34,6,3,185.29,2,Netherlands,Kirtipur,2024-02-28
Muhammad Tanveer,63,0,33,6,4,190.9,2,Nepal,Al Amerat,2024-04-13
Arslan Amjad,63,0,47,4,4,134.04,2,Cyprus,Episkopi,2024-06-17
O Manishimwe,63,0,57,5,1,110.52,1,Kenya,Nairobi,2024-06-29
BA King,63,0,33,11,1,190.9,2,Sri Lanka,Dambulla,2024-10-13
RR Patel,63,0,40,4,4,157.5,1,Gambia,Nairobi (Gym),2024-10-22
Muhammad Asim,63,0,28,6,3,225.0,2,Oman,ICCA Dubai,2024-12-14
Meet Bhavsar,63,0,46,8,1,136.95,2,Oman,ICCA Dubai,2024-12-20
R Sandaruwan,63,0,36,6,4,175.0,1,Nepal,Mong Kok,2025-04-13
VP Thamotharam,63,0,39,3,5,161.53,1,Estonia,Marsa,2025-05-06
YS Samra,63,0,35,5,4,180.0,1,Bermuda,King City (NW),2025-06-15
Musaddiq Ahmed,63,0,39,8,3,161.53,2,Tanzania,Blantyre,2025-07-07
HL Carlyon,63,0,50,6,1,126.0,1,Guernsey,The Hague,2025-07-08
Muhammad Tanveer,63,0,39,5,4,161.53,1,Saudi Arabia,Doha,2025-07-19
RA Herman,63,0,36,3,4,175.0,2,Zimbabwe,Harare,2025-07-20
R Ravindra,63,0,39,7,2,161.53,1,Zimbabwe,Harare,2025-07-24
Sahibzada Farhan,63,0,41,6,5,153.65,1,Bangladesh,Mirpur,2025-07-24
Ibrahim Zadran,63,0,40,3,4,157.5,1,U.A.E.,Sharjah,2025-09-01
S Jora,63,0,39,3,5,161.53,1,West Indies,Sharjah,2025-09-29
M Gogev,63,0,35,4,5,180.0,1,Serbia,Episkopi,2025-11-01
Sahibzada Farhan,63,0,41,4,3,153.65,1,Zimbabwe,Rawalpindi,2025-11-23
Jakir Patel,63,0,45,4,4,140.0,1,Sierra Leone,Abuja,2025-12-06
HH Pandya,63,0,25,5,5,252.0,1,South Africa,Ahmedabad,2025-12-19
SA Yadav,63,0,30,4,6,210.0,1,New Zealand,Thiruvananthapuram,2026-01-31
Gulbadin Naib,63,0,35,3,4,180.0,1,New Zealand,Chennai,2026-02-08
DA Miller,63,0,35,7,3,180.0,1,India,Ahmedabad,2026-02-22
Sahibzada Farhan,63,0,45,7,2,140.0,1,England,Pallekele,2026-02-24
CG Williams,62,1,53,4,1,116.98,2,Zimbabwe,Bulawayo,2022-05-19
N Nipiko,62,1,46,3,4,134.78,2,Samoa,Port vila,2022-09-10
BA King,62,1,48,6,1,129.16,1,Ireland,Hobart,2022-10-21
V Kohli,62,1,44,3,2,140.9,1,Netherlands,Sydney,2022-10-27
T Sandeep,62,1,53,10,0,116.98,2,Gambia,Kigali,2022-12-01
J Bulele,62,1,53,7,0,116.98,2,Eswatini,Kigali,2022-12-02
TS Fray,62,1,48,6,2,129.16,1,Argentina,Buenos Aires,2023-02-26
Aqib Ilyas,62,1,51,4,2,121.56,2,Hong Kong,Al Amerat,2024-04-19
M Levitt,62,1,47,4,3,131.91,2,Canada,Utrecht,2024-08-23
C Green,62,1,39,2,5,158.97,2,Scotland,Edinburgh,2024-09-07
Sami Sohail,62,1,52,7,2,119.23,2,Rwanda,Blantyre,2024-10-12
Hammad Mirza,62,1,42,5,3,147.61,2,Netherlands,Al Amerat,2024-11-13
JG Bethell,62,1,32,4,5,193.75,1,West Indies,Gros Islet,2024-11-16
D Rawat,62,1,55,9,0,112.72,1,Falkland Isl,Guacima,2025-03-11
AN Lascu,62,1,30,7,4,206.66,2,Hungary,Ilfov County,2025-06-27
MWR Stokes,62,1,49,6,0,126.53,2,Jersey,The Hague,2025-07-08
GJ Maxwell,62,1,36,8,2,172.22,2,South Africa,Cairns,2025-08-16
Virandeep Singh,62,1,54,5,3,114.81,1,Qatar,Al Amerat,2025-10-09
AJ Mosca,62,1,32,3,6,193.75,2,Nepal,Wankhede,2026-02-12
N Pooran,62,0,41,5,3,151.21,2,India,Eden Gardens,2022-02-18
J Broad,62,0,42,7,1,147.61,2,U.A.E.,Al Amerat,2022-02-19
CJA Amini,62,0,47,9,0,131.91,2,Nepal,Kirtipur,2022-03-31
Arslan Amjad,62,0,52,3,2,119.23,2,Finland,Kerava,2022-06-19
M Campopiano,62,0,49,4,3,126.53,1,Sweden,Vantaa,2022-07-15
Sikandar Raza,62,0,53,4,2,116.98,1,Bangladesh,Harare,2022-07-31
Haider Butt,62,0,34,5,5,182.35,2,Kuwait,Al Amerat,2022-08-13
KL Rahul,62,0,41,6,2,151.21,1,Afghanistan,Dubai (DICS),2022-09-08
FH Allen,62,0,42,1,6,147.61,2,Pakistan,Christchurch,2022-10-11
CN Ackermann,62,0,48,6,2,129.16,2,Bangladesh,Hobart,2022-10-24
A Balbirnie,62,0,47,5,2,131.91,1,England,Melbourne,2022-10-26
GD Phillips,62,0,36,4,3,172.22,2,England,Brisbane,2022-11-01
SSM Stanislaus,62,0,48,2,4,129.16,1,Luxembourg,Marsa,2023-07-12
G Thakur,62,0,43,7,2,144.18,1,Romania,Ilfov County,2023-08-20
VP Thamotharam,62,0,32,7,2,193.75,2,Romania,Ilfov County,2023-08-20
Faisal Khan,62,0,42,9,1,147.61,1,Kuwait,Doha,2023-09-15
TP Ura,62,0,33,6,4,187.87,2,Malaysia,Kuala Lumpur,2023-09-20
Babar Hayat,62,0,49,3,4,126.53,2,P.N.G.,Kuala Lumpur,2023-09-21
Aditya Panwar,62,0,45,3,4,137.77,1,Gibraltar,Gibraltar,2023-09-30
Aasif Sheikh,62,0,50,6,2,124.0,2,U.A.E.,Mulpani,2023-10-23
Imran Ali Butt,62,0,43,5,3,144.18,1,Hong Kong,Mulpani,2023-10-31
Sikandar Raza,62,0,42,5,2,147.61,1,Sri Lanka,Colombo (RPS),2024-01-14
Aqib Ilyas,62,0,53,2,2,116.98,1,Bahrain,Al Amerat,2024-04-12
Taranjeet Singh,62,0,31,9,2,200.0,1,Bulgaria,Ilfov County,2024-05-26
Taranjeet Singh,62,0,43,8,3,144.18,2,Portugal,Spinaceto,2024-06-10
A Sokovagone,62,0,37,3,5,167.56,1,Cook Islands,Apia (No 2),2024-08-20
ND Laegsgaard,62,0,35,2,6,177.14,1,Guernsey,Castel,2024-08-28
AGS Gous,62,0,43,3,4,144.18,2,Nepal,Dallas,2024-10-19
AP Yadav,62,0,54,6,1,114.81,1,Indonesia,Gelephu,2024-10-23
T Marumani,62,0,19,9,4,326.31,1,Gambia,Nairobi (Ruaraka),2024-10-23
Ahmer Bin,62,0,38,4,3,163.15,1,Bhutan,Doha,2024-11-23
Lakshit Gupta,62,0,45,4,3,137.77,1,Saudi Arabia,Doha,2024-11-25
D Ndikubwimana,62,0,44,6,3,140.9,1,Botswana,Rwanda,2024-12-11
DJ Mitchell,62,0,42,4,2,147.61,1,Sri Lanka,Mount Maunganui,2024-12-28
Faisal Khan,62,0,28,8,3,221.42,1,Singapore,Kuala Lumpur,2025-04-25
MP O'Dowd,62,0,48,5,2,129.16,2,Jersey,The Hague,2025-07-05
M Gogev,62,0,32,7,4,193.75,1,Gibraltar,Sofia,2025-07-10
PA Raikes,62,0,35,6,4,177.14,2,Turkey,Sofia,2025-07-12
Sohail Ahmed,62,0,29,5,4,213.79,1,Malawi,Rwanda,2025-07-23
S Gooch,62,0,52,3,3,119.23,2,Finland,Tallinn,2025-07-25
BA King,62,0,36,3,6,172.22,1,Australia,Basseterre,2025-07-25
T Marumani,62,0,48,6,2,129.16,1,Namibia,Bulawayo,2025-09-15
Arun Yadav,62,0,32,8,2,193.75,2,Botswana,Harare,2025-09-26
SM Solia,62,0,45,4,3,137.77,2,P.N.G.,Al Amerat,2025-10-09
R Chopra,62,0,34,3,5,182.35,1,Samoa,Al Amerat,2025-10-15
Bilal Zalmai,62,0,32,5,6,193.75,2,Romania,Ilfov County,2025-10-19
NT Tilak Varma,62,0,34,2,5,182.35,2,South Africa,New Chandigarh,2025-12-11
TL Seifert,62,0,36,7,3,172.22,1,India,Visakhapatnam,2026-01-28
P Nissanka,62,0,41,8,0,151.21,1,Zimbabwe,Colombo (RPS),2026-02-19
PD Salt,62,0,40,6,2,155.0,1,Sri Lanka,Pallekele,2026-02-22
Meet Bhavsar,62,0,38,5,4,163.15,2,Hong Kong,Mong Kok,2026-02-26
AJ Finch,61,1,40,4,4,152.5,2,Sri Lanka,Colombo (RPS),2022-06-07
R Powell,61,1,28,2,6,217.85,1,Bangladesh,Roseau,2022-07-03
S Ivetic,61,1,44,5,3,138.63,2,Bulgaria,Belgrade,2022-07-09
MG Bracewell,61,1,25,8,3,244.0,1,Scotland,Edinburgh,2022-07-29
SA Yadav,61,1,25,6,4,244.0,1,Zimbabwe,Melbourne,2022-11-06
Pargat Singh,61,1,51,7,1,119.6,1,Bahrain,Al Amerat,2022-11-17
AP Rajeevan,61,1,28,6,3,217.85,1,Rwanda,Rwanda,2022-12-13
Choudry Share Ali,61,1,42,6,2,145.23,2,Denmark,Brondby,2023-05-19
V Ganesan,61,1,38,7,1,160.52,2,Belgium,Krefeld,2023-06-11
RB Patel,61,1,42,8,1,145.23,1,Tanzania,Rwanda,2023-08-21
Saqlain Arshad,61,1,32,7,3,190.62,2,Maldives,Doha,2023-10-01
RR Sharan,61,1,46,4,4,132.6,2,Singapore,Bangkok,2024-02-09
S Samarawickrama,61,1,48,8,1,127.08,1,Bangladesh,Sylhet,2024-03-04
A Mansale,61,1,40,1,4,152.5,1,Tanzania,Kuala Lumpur,2024-03-05
S Bau,61,1,43,6,1,141.86,2,Hong Kong,Mong Kok,2024-03-12
B McMullen,61,1,31,9,2,196.77,2,Oman,North Sound,2024-06-09
MP Stoinis,61,1,27,5,5,225.92,2,Pakistan,Hobart,2024-11-18
Ahmer Bin,61,1,26,2,6,234.61,1,Indonesia,Bali,2025-02-23
Imran Anwar,61,1,51,3,4,119.6,2,Hong Kong,Kuala Lumpur,2025-03-17
KK Ahuja,61,1,39,9,1,156.41,2,Turks and C.,Panama City,2025-04-18
M Chadha,61,1,52,5,4,117.3,2,Indonesia,Bali,2025-06-11
A Augastin,61,1,43,6,3,141.86,2,Bahrain,Blantyre,2025-07-08
HT Tector,61,1,36,6,2,169.44,1,England,Dublin (Malahide),2025-09-17
JJ Smit,61,1,43,1,4,141.86,1,Tanzania,Harare,2025-10-02
WL Madsen,61,1,46,8,0,132.6,2,Ireland,Dubai,2026-01-25
SD Hope,61,1,44,5,3,138.63,2,Nepal,Wankhede,2026-02-15
Bilal Tahir,61,1,33,4,5,184.84,1,Hong Kong,Mong Kok,2026-02-25
N Pooran,61,0,43,4,5,141.86,1,India,Eden Gardens,2022-02-16
N Pooran,61,0,47,8,1,129.78,2,India,Eden Gardens,2022-02-20
H Lakov,61,0,51,3,0,119.6,2,Czech Rep.,Marsa,2022-05-12
Abhishek Ahuja,61,0,48,5,4,127.08,1,Czech Rep.,Marsa,2022-05-14
Omar Rassol,61,0,40,3,6,152.5,1,Serbia,Belgrade,2022-07-09
AK Mohan,61,0,56,0,6,108.92,1,Italy,Kerava,2022-07-13
DK Mathias,61,0,47,1,5,129.78,1,Kuwait,Al Amerat,2022-08-14
C Green,61,0,30,8,4,203.33,2,India,Mohali,2022-09-20
SA Yadav,61,0,22,5,5,277.27,1,South Africa,Guwahati,2022-10-02
PR Surve,61,0,45,6,2,135.55,1,South Korea,Sano,2022-10-15
KS Williamson,61,0,35,5,3,174.28,1,Ireland,Adelaide,2022-11-04
KS Williamson,61,0,52,4,2,117.3,2,India,Mount Maunganui,2022-11-20
