Player,Runs,Not_Out,BF,Fours,Sixes,SR,Inns,Opposition,Ground,Start_Date
RR Rossouw,109,0,56,7,8,194.64,1,Bangladesh,Sydney,2022-10-27
M Spoors,108,1,66,14,3,163.63,1,Philippines,Al Amerat,2022-02-18
Saim Hussain,108,1,55,8,7,196.36,1,Malta,Marsa,2022-05-14
JA Burns,108,1,55,12,4,196.36,1,Romania,Rome,2024-06-16
Faheem Nazir,107,1,68,11,4,157.35,1,Estonia,Kerava,2022-07-27
O Harvey,107,1,54,4,9,198.14,1,Gambia,Rwanda,2022-12-08
NT Tilak Varma,107,1,56,8,7,191.07,1,South Africa,Centurion,2024-11-13
Mohammad Haris,107,1,46,8,7,232.6,2,Bangladesh,Lahore,2025-06-01
D Visser,107,1,64,17,3,167.18,1,Malaysia,Singapore,2025-07-24
JJ Huo,107,1,54,7,7,198.14,2,Eswatini,Malkerns,2025-09-13
R Powell,107,0,53,4,10,201.88,1,England,Bridgetown,2022-01-26
SV Samson,107,0,50,7,10,214.0,1,South Africa,Durban,2024-11-08
Musaddiq Ahmed,107,0,53,10,9,201.88,1,Malawi,Blantyre,2025-07-13
P Nissanka,107,0,58,7,6,184.48,2,India,Dubai (DICS),2025-09-26
DA Miller,106,1,47,8,7,225.53,2,India,Guwahati,2022-10-02
Sheikh Rasik,106,1,38,5,12,278.94,2,Malta,Marsa,2025-02-04
TB Robinson,106,1,66,6,5,160.6,1,Australia,Mount Maunganui,2025-10-01
Dylan Steyn,106,0,55,17,2,192.72,1,Bulgaria,Marsa,2022-05-12
Ahmed Faiz,105,1,50,9,6,210.0,1,Myanmar,Kuala Lumpur,2023-07-30
Hasan Nawaz,105,1,45,10,7,233.33,2,New Zealand,Auckland,2025-03-21
Fiaz Ahmed,105,1,57,10,7,184.21,1,Germany,Blantyre,2025-07-06
JG Bethell,105,0,48,8,7,218.75,2,India,Wankhede,2026-03-05
K Bhurtel,104,1,61,13,1,170.49,1,Philippines,Al Amerat,2022-02-19
MS Chapman,104,1,57,11,4,182.45,2,Pakistan,Rawalpindi,2023-04-24
GJ Maxwell,104,1,48,8,8,216.66,2,India,Guwahati,2023-11-28
DJ Hooda,104,0,57,9,6,182.45,1,Ireland,Dublin (Malahide),2022-06-28
GD Phillips,104,0,64,10,4,162.5,1,Sri Lanka,Sydney,2022-10-29
T Parima,104,0,52,10,7,200.0,2,Samoa,Apia (No 2),2024-08-23
MD Patel,104,0,49,8,6,212.24,1,Bahamas,George Town,2025-04-20
Basil George,103,1,63,9,5,163.49,1,Bulgaria,Castel,2024-08-25
PD Salt,103,1,54,9,6,190.74,2,West Indies,Bridgetown,2024-11-09
MR Marsh,103,1,52,8,7,198.07,2,New Zealand,Mount Maunganui,2025-10-04
KS Leverock,103,0,58,10,6,177.58,1,Panama,Buenos Aires,2023-02-28
JP Inglis,103,0,49,7,7,210.2,1,Scotland,Edinburgh,2024-09-06
P Pushparajan,103,0,40,8,8,257.5,1,Estonia,Marsa,2025-05-07
Ishan Kishan,103,0,43,6,10,239.53,1,New Zealand,Thiruvananthapuram,2026-01-31
Zeeshan Maqsood,102,1,44,7,9,231.81,1,Bahrain,Al Amerat,2022-11-19
